player_id,season,player_name,n_pitch_types,hull_area,hull_method,avg_nn_distance,fastball_relative_break,anchor_type,no_anchor_available,velocity_range,max_velo,arm_angle,release_x,release_z,hull_area_z,avg_nn_distance_z,fastball_relative_break_z,velocity_range_z,max_velo_z,release_x_z,release_z_z,arm_angle_z
493603,2020,adam ottavino,2,1.1924000000000001,bbox,2.745487206307835,2.745487206307835,SI,False,12.469999999999999,93.42,,-2.5742349726775955,5.339508196721312,0.15833283109266327,4.03769744363535,3.1090439822347893,0.1501429126230159,-0.14370443643594416,-0.9445830930408208,-0.7817714367799058,
493603,2021,adam ottavino,3,1.1465999999999998,hull,1.4776906491903086,1.9627168271129982,SI,False,14.769999999999996,95.38,,-2.4566450040617385,5.554549147034931,0.08925031580746615,1.0272170975699813,1.1541065816567082,0.889048988834256,0.6355479490451708,-0.8813135917176688,-0.3816380304603595,
493603,2022,adam ottavino,5,1.6027999999999998,hull,0.8321151472303796,1.4626495858403699,SI,False,13.620000000000005,94.59,,-2.70852733686067,5.455299823633157,0.777360435307613,-0.5057515397407187,-0.09479115227815374,0.5195959507286382,0.3214615283665603,-1.0168393493642405,-0.5663143434590874,
493603,2023,adam ottavino,5,1.4696500000000001,hull,0.7750185992001166,1.5519144904949882,SI,False,13.629999999999995,93.22,,-2.8261886792452837,5.324726415094339,0.5765233848660428,-0.6413316805040682,0.1281443410754007,0.5228085858425973,-0.22321998597483483,-1.0801472534764223,-0.8092763590993337,
493603,2024,adam ottavino,5,1.48775,hull,0.7405226514253725,1.481879739950819,SI,False,14.25,93.17,,-2.728603773584906,5.383443396226415,0.6038245535704543,-0.7232449592645638,-0.04676461922504235,0.7219919629082375,-0.24309887335955607,-1.0276415134845303,-0.7000198401204463,
500610,2020,deolis guerra,5,1.7204999999999997,hull,0.851564806988549,1.3184183932066529,FF,False,16.210000000000008,92.4,,-0.9895652173913044,6.502536231884058,0.9548934494793957,-0.4595668280762908,-0.4550027293943756,1.351668445244776,-0.5492337390842792,-0.09194858383044383,1.3823111190128452,
500610,2021,deolis guerra,5,1.96085,hull,0.9596983143823679,1.5037100980699152,FF,False,13.720000000000013,90.79,,-1.415,6.364650092081032,1.3174258195404667,-0.2027955054751768,0.007755818299602268,0.5517223018682601,-1.1893339128723397,-0.32085455989297984,1.1257420761250927,
500779,2020,jose quintana,4,0.9377500000000001,hull,0.9155501585222857,1.2139900307695635,FF,False,13.969999999999999,91.33,,2.191792452830189,5.737264150943396,-0.22576897059675466,-0.30762869403816423,-0.7158083460036555,0.6320381797173035,-0.9746419291173412,1.6197868277423708,-0.04165452130566963,
500779,2021,jose quintana,4,1.18005,hull,1.0102864112063088,1.3119159005623562,FF,False,12.959999999999994,91.5,,2.285573033707865,5.84940074906367,0.139704685595454,-0.08267018222963635,-0.4712424420932581,0.3075620332071482,-0.9070537120092843,1.6702456437091433,0.16700154589228802,
500779,2022,jose quintana,4,1.3377000000000003,hull,1.0127677361041003,1.3611587052109932,FF,False,13.060000000000002,91.37,,2.2753202304303626,5.80352422907489,0.37749635665901904,-0.07677808558757902,-0.3482605267376958,0.3396883843467701,-0.9587388192095607,1.6647291038361625,0.08163767363249057,
500779,2023,jose quintana,4,1.43575,hull,1.0324273647232693,1.3148175814063028,SI,False,13.269999999999996,90.39,,2.19521978021978,5.794913657770801,0.5253902567401002,-0.030094786728086922,-0.46399561140428,0.4071537217399684,-1.348365011950121,1.6216309076189377,0.06561571492538,
500779,2024,jose quintana,4,1.6269,hull,1.0910185386641909,1.3554317611933318,SI,False,13.120000000000005,90.72,,2.229528301886792,5.777306755934267,0.8137117151847584,0.10903445811154096,-0.3625633380712819,0.35896419503054233,-1.217164355210954,1.6400906715134038,0.032854003277846926,
500779,2025,jose quintana,4,1.4002499999999998,hull,1.0099861930847807,1.2353841847346645,SI,False,12.049999999999997,90.48,,2.2239903211614607,5.73082710074791,0.4718437656347617,-0.0833830732288421,-0.6623773107323381,0.015212237836614819,-1.3125830146576194,1.6371109506838695,-0.053632141464124615,
501381,2020,michael pineda,3,0.6494000000000001,hull,1.106920971635206,1.1635917635178399,FF,False,9.61999999999999,92.05,,-2.3116703296703296,6.432967032967033,-0.6607022300396906,0.14679600719060584,-0.8416759825333718,-0.7654580948561333,-0.6883859507773393,-0.8033096985182803,1.2528615397722713,
501381,2021,michael pineda,3,0.5879000000000001,hull,1.0470051089884265,1.0961396628755162,FF,False,9.409999999999997,90.64,,-2.33454442558008,6.4590662139219015,-0.7534658695602058,0.004521187225969471,-1.0101348790348876,-0.8329234322493315,-1.2489705750265092,-0.815617148366793,1.3014251001657275,
501381,2022,michael pineda,3,0.53855,hull,1.0049284713125979,1.047773299197641,FF,False,9.239999999999995,89.89,,-2.260068399452804,6.514377564979481,-0.8279030339559365,-0.09539302222700118,-1.1309279184714307,-0.8875382291866847,-1.5471538857973448,-0.7755451839886398,1.4043446569967768,
501593,2020,luis avilán,3,0.5198500000000001,hull,1.1658718436207682,1.6563656511128348,SI,False,15.530000000000001,90.79,,1.1569142857142858,6.094342857142857,-0.8561092137776214,0.2867793826774814,0.3890068952201471,1.1332092574953634,-1.1893339128723397,1.0629687051222478,0.6227729694926633,
501593,2021,luis avilán,3,0.6931999999999999,hull,1.2056432211041608,1.6362963243883932,SI,False,13.850000000000009,90.01,,1.199,6.203210526315789,-0.5946364184787386,0.38121957466058737,0.3388845624635234,0.5934865583497636,-1.4994445560740093,1.0856130019702592,0.8253464385956577,
