player_name,pitcher,pitch_type,pitches_vs_same,pitches_vs_opposite,score_vs_same,score_vs_opposite,confidence_vs_same,confidence_vs_opposite,trusted_score_vs_same,trusted_score_vs_opposite,platoon_gap,platoon_gap_abs,weaker_side
"Yamamoto, Yoshinobu",808967,FF,111.0,111.0,37.23150357995227,56.56324582338902,74.0,74.0,39.96631614836615,54.27180540850934,14.30548926014319,14.30548926014319,same
"Herget, Jimmy",623474,ST,66.0,57.0,84.00954653937947,52.14797136038186,44.0,38.0,63.704208014068584,49.42123746119475,-14.282970552873834,14.282970552873834,opposite
"Bednar, David",670280,FF,69.0,60.0,54.17661097852029,19.570405727923628,46.0,40.0,50.70624831769161,36.478170366249756,-14.228077951441854,14.228077951441854,opposite
"Baz, Shane",669358,KC,149.0,94.0,65.8711217183771,99.16467780429595,99.33333333333333,62.66666666666667,65.7503143299777,79.9698697818532,14.219555451875507,14.219555451875507,same
"Ortiz, Luis",682847,SL,54.0,37.0,79.83293556085918,37.11217183770883,36.0,24.666666666666668,59.2998654153283,45.12601252534678,-14.173852889981518,14.173852889981518,opposite
"Mears, Nick",683232,SL,60.0,35.0,92.48210023866349,63.84248210023866,40.0,23.333333333333332,65.6428481705457,51.504922808213855,-14.137925362331849,14.137925362331849,opposite
"Pfaadt, Brandon",694297,FF,56.0,98.0,19.451073985680193,10.023866348448687,37.333333333333336,65.33333333333333,37.18507605529337,23.102264013255095,-14.082812042038277,14.082812042038277,opposite
"Holmes, Clay",605280,SI,160.0,152.0,10.739856801909307,24.821002386634845,100.0,100.0,10.739856801909307,24.821002386634845,14.081145584725538,14.081145584725538,same
"Schlittler, Cam",693645,FC,33.0,36.0,80.5489260143198,19.212410501193318,22.0,24.0,54.96577422075475,40.900988748721446,-14.064785472033307,14.064785472033307,opposite
"Márquez, Germán",608566,FF,88.0,141.0,0.35799522673031026,3.221957040572793,58.666666666666664,94.0,19.946696095848214,5.893640425646458,-14.053055670201756,14.053055670201756,opposite
"Holmes, Clay",605280,SL,39.0,35.0,68.37708830548927,10.620525059665871,26.0,23.333333333333332,53.113052918692915,39.08646616541354,-14.026586753279375,14.026586753279375,opposite
"Webb, Jacob",657097,FF,69.0,42.0,18.85441527446301,50.23866348448688,46.0,28.000000000000004,34.45803829382526,48.44683546575269,13.98879717192743,13.98879717192743,same
"Burke, Sean",680732,KC,33.0,82.0,38.424821002386636,69.33174224343675,22.0,54.666666666666664,45.69847111812946,59.54802519425054,13.84955407612108,13.84955407612108,same
"Parker, Mitchell",680730,FF,108.0,308.0,2.983293556085919,1.6706443914081146,72.0,100.0,15.51797512875267,1.6706443914081146,-13.847330737344556,13.847330737344556,opposite
"Vásquez, Randy",681190,FF,31.0,72.0,44.272076372315034,17.42243436754177,20.666666666666668,48.0,47.03123979399573,33.19277549482298,-13.838464299172749,13.838464299172749,opposite
"Rodríguez, Randy",678495,SL,55.0,55.0,58.711217183770884,96.4200477326969,36.666666666666664,36.666666666666664,51.769121491078536,65.5956926923514,13.82657120127287,13.82657120127287,same
"Horton, Cade",690990,FF,100.0,141.0,15.75178997613365,10.501193317422434,66.66666666666666,94.0,26.41786447024483,12.736122525885122,-13.681741944359707,13.681741944359707,opposite
"Eovaldi, Nathan",543135,FF,48.0,53.0,44.74940334128878,6.324582338902148,32.0,35.333333333333336,46.78981822097008,33.11302779622087,-13.676790424749214,13.676790424749214,opposite
"Junk, Janson",676083,SL,70.0,69.0,56.085918854415276,26.610978520286395,46.666666666666664,46.0,51.640102643242955,38.026057386904014,-13.61404525633894,13.61404525633894,opposite
"Berríos, José",621244,CH,33.0,109.0,90.33412887828163,79.23627684964201,22.0,72.66666666666667,57.118518850826355,70.63003152272088,13.511512671894529,13.511512671894529,same
"Severino, Luis",622663,FF,79.0,95.0,26.49164677804296,9.188544152744631,52.666666666666664,63.33333333333333,36.553940340110415,23.327749564842897,-13.226190775267519,13.226190775267519,opposite
"Burke, Brock",656271,FF,30.0,76.0,4.176610978520286,56.56324582338902,20.0,50.66666666666667,39.035332962477796,52.21538452336091,13.180051560883115,13.180051560883115,same
"Alcantara, Sandy",645261,CH,74.0,100.0,87.58949880668257,57.51789976133651,49.333333333333336,66.66666666666666,67.40415956358676,54.261937660380056,-13.142221903206703,13.142221903206703,opposite
"Sterner, Justin",686993,FF,82.0,62.0,19.212410501193318,41.766109785202865,54.666666666666664,41.333333333333336,32.149457175157465,45.276666606851265,13.1272094316938,13.1272094316938,same
"López, Pablo",641154,FF,42.0,86.0,45.58472553699284,23.86634844868735,28.000000000000004,57.333333333333336,47.14373284045436,34.05671218619341,-13.087020654260954,13.087020654260954,opposite
"Kremer, Dean",665152,FC,109.0,38.0,71.71837708830549,64.9164677804296,72.66666666666667,25.333333333333336,65.16702436281635,52.09884855336432,-13.068175809452029,13.068175809452029,opposite
"Francis, Bowden",670102,FF,75.0,99.0,14.319809069212411,2.6252983293556085,50.0,66.0,31.034911263839792,17.967701473253538,-13.067209790586254,13.067209790586254,opposite
"Evans, Logan",688138,FC,62.0,35.0,57.51789976133651,9.188544152744631,41.333333333333336,23.333333333333332,51.78740646365317,38.752337287131915,-13.035069176521255,13.035069176521255,opposite
"Bido, Osvaldo",674370,SL,72.0,42.0,42.959427207637226,85.91885441527445,48.0,28.000000000000004,45.4505320580688,58.43728892637321,12.986756868304411,12.986756868304411,same
"Martinez, Nick",607259,CH,56.0,76.0,56.443914081145586,79.59427207637232,37.333333333333336,50.66666666666667,50.99573635760045,63.88443782487245,12.888701467272,12.888701467272,same
"Vásquez, Randy",681190,FC,63.0,86.0,45.704057279236274,23.86634844868735,42.0,57.333333333333336,46.8907118631902,34.05671218619341,-12.83399967699679,12.83399967699679,opposite
"Yates, Kirby",489446,FF,59.0,34.0,65.75178997613365,22.434367541766107,39.33333333333333,22.666666666666664,54.83071222208265,42.01180038401493,-12.81891183806772,12.81891183806772,opposite
"Bubic, Kris",663460,ST,33.0,68.0,78.52028639618138,90.81145584725537,22.0,45.33333333333333,54.5194735047643,67.27120067471782,12.751727169953519,12.751727169953519,same
"Mize, Casey",663554,FS,49.0,143.0,80.78758949880668,72.31503579952268,32.666666666666664,95.33333333333334,58.54228829831141,71.16866809027341,12.626379791962002,12.626379791962002,same
"Senga, Kodai",673540,FO,67.0,104.0,98.68735083532219,98.68735083532219,44.666666666666664,69.33333333333334,70.50202415346241,83.06656737308667,12.564543219624255,12.564543219624255,same
"Ashcraft, Graham",668933,SL,79.0,40.0,97.13603818615752,98.68735083532219,52.666666666666664,26.666666666666668,73.75998648171742,61.333303425628515,-12.426683056088905,12.426683056088905,opposite
"Faucher, Calvin",676534,FC,44.0,60.0,17.899761336515514,56.801909307875896,29.333333333333332,40.0,38.99393950269469,51.37077179823066,12.376832295535976,12.376832295535976,same
