player_id,player_name,season,CH_usage_pct,CS_usage_pct,CU_usage_pct,EP_usage_pct,FA_usage_pct,FC_usage_pct,FF_usage_pct,FO_usage_pct,FS_usage_pct,KC_usage_pct,KN_usage_pct,PO_usage_pct,SC_usage_pct,SI_usage_pct,SL_usage_pct,ST_usage_pct,SV_usage_pct,UN_usage_pct,CH_avg_speed,CS_avg_speed,CU_avg_speed,EP_avg_speed,FA_avg_speed,FC_avg_speed,FF_avg_speed,FO_avg_speed,FS_avg_speed,KC_avg_speed,KN_avg_speed,PO_avg_speed,SC_avg_speed,SI_avg_speed,SL_avg_speed,ST_avg_speed,SV_avg_speed,UN_avg_speed,CH_avg_spin,CS_avg_spin,CU_avg_spin,EP_avg_spin,FA_avg_spin,FC_avg_spin,FF_avg_spin,FO_avg_spin,FS_avg_spin,KC_avg_spin,KN_avg_spin,PO_avg_spin,SC_avg_spin,SI_avg_spin,SL_avg_spin,ST_avg_spin,SV_avg_spin,UN_avg_spin,CH_whiff_rate,CS_whiff_rate,CU_whiff_rate,EP_whiff_rate,FA_whiff_rate,FC_whiff_rate,FF_whiff_rate,FO_whiff_rate,FS_whiff_rate,KC_whiff_rate,KN_whiff_rate,PO_whiff_rate,SC_whiff_rate,SI_whiff_rate,SL_whiff_rate,ST_whiff_rate,SV_whiff_rate,UN_whiff_rate,CH_avg_pfx_x,CS_avg_pfx_x,CU_avg_pfx_x,EP_avg_pfx_x,FA_avg_pfx_x,FC_avg_pfx_x,FF_avg_pfx_x,FO_avg_pfx_x,FS_avg_pfx_x,KC_avg_pfx_x,KN_avg_pfx_x,PO_avg_pfx_x,SC_avg_pfx_x,SI_avg_pfx_x,SL_avg_pfx_x,ST_avg_pfx_x,SV_avg_pfx_x,UN_avg_pfx_x,CH_avg_pfx_z,CS_avg_pfx_z,CU_avg_pfx_z,EP_avg_pfx_z,FA_avg_pfx_z,FC_avg_pfx_z,FF_avg_pfx_z,FO_avg_pfx_z,FS_avg_pfx_z,KC_avg_pfx_z,KN_avg_pfx_z,PO_avg_pfx_z,SC_avg_pfx_z,SI_avg_pfx_z,SL_avg_pfx_z,ST_avg_pfx_z,SV_avg_pfx_z,UN_avg_pfx_z
445213,brandon kintzler,2020,12.44,,,,,,2.03,,,,,,,75.38,10.15,,,,86.05,,,,,,92.39,,,,,,,91.42,84.73,,,,2067.0,,,,,,1952.0,,,,,,,1952.0,2329.0,,,,0.1852,,,,,,0.5,,,,,,,0.0644,0.2308,,,,-1.46,,,,,,-0.78,,,,,,,-1.3,0.09,,,,0.78,,,,,,1.07,,,,,,,0.77,0.2,,,
445213,brandon kintzler,2021,11.28,,,,,,0.51,,,,,,,73.4,14.81,,,,86.73,,,,,,92.2,,,,,,,91.9,85.11,,,,2169.0,,,,,,1930.0,,,,,,,1967.0,2353.0,,,,0.125,,,,,,0.0,,,,,,,0.0734,0.3043,,,,-1.42,,,,,,-0.85,,,,,,,-1.33,0.08,,,,0.9,,,,,,1.14,,,,,,,0.89,0.27,,,
445276,kenley jansen,2020,,,,,,62.3,,,,,,,,27.96,9.73,,,,,,,,,90.7,,,,,,,,92.34,81.53,,,,,,,,,2548.0,,,,,,,,2226.0,2337.0,,,,,,,,,0.2009,,,,,,,,0.2301,0.2353,,,,,,,,,0.69,,,,,,,,-0.59,0.58,,,,,,,,,1.13,,,,,,,,1.52,-0.38,,,
445276,kenley jansen,2021,,,,,,57.99,,,,,,,,26.12,15.89,,,,,,,,,92.52,,,,,,,,93.89,82.02,,,,,,,,,2671.0,,,,,,,,2337.0,2450.0,,,,,,,,,0.2137,,,,,,,,0.2571,0.2564,,,,,,,,,0.61,,,,,,,,-0.57,0.5,,,,,,,,,1.45,,,,,,,,1.59,-0.53,,,
445276,kenley jansen,2022,,,,,,65.44,,,,,,,,21.65,12.91,,,,,,,,,92.24,,,,,,,,93.62,81.18,,,,,,,,,2564.0,,,,,,,,2232.0,2458.0,,,,,,,,,0.1718,,,,,,,,0.1597,0.1529,,,,,,,,,0.7,,,,,,,,-0.39,0.38,,,,,,,,,1.37,,,,,,,,1.62,-0.5,,,
445276,kenley jansen,2023,,,,,,77.25,,,,,,,,10.82,11.93,,,,,,,,,94.27,,,,,,,,95.19,84.14,,,,,,,,,2628.0,,,,,,,,2313.0,2423.0,,,,,,,,,0.1809,,,,,,,,0.15,0.3462,,,,,,,,,0.14,,,,,,,,-0.77,0.6,,,,,,,,,1.51,,,,,,,,1.48,-0.32,,,
445276,kenley jansen,2024,,,,,,83.99,,,,,,,,8.13,6.03,1.85,,,,,,,,92.23,,,,,,,,93.19,82.47,80.95,,,,,,,,2628.0,,,,,,,,2264.0,2421.0,2584.0,,,,,,,,0.1795,,,,,,,,0.2439,0.0385,0.0,,,,,,,,0.5,,,,,,,,-0.47,0.52,1.2,,,,,,,,1.45,,,,,,,,1.64,-0.32,0.06,,
445276,kenley jansen,2025,,,,,,82.59,,,,,,,,8.31,7.04,2.06,,,,,,,,92.6,,,,,,,,93.25,83.9,81.87,,,,,,,,2617.0,,,,,,,,2333.0,2476.0,2509.0,,,,,,,,0.1686,,,,,,,,0.2603,0.2297,0.2222,,,,,,,,0.3,,,,,,,,-0.61,0.53,1.03,,,,,,,,1.49,,,,,,,,1.58,-0.25,0.24,,
445926,jesse chavez,2020,5.25,,,,,33.77,6.89,,,,,,,40.0,14.1,,,,85.17,,,,,88.99,90.96,,,,,,,91.06,83.34,,,,1988.0,,,,,2293.0,2189.0,,,,,,,2115.0,2268.0,,,,0.0,,,,,0.0635,0.0667,,,,,,,0.0253,0.2727,,,,-1.5,,,,,-0.17,-0.99,,,,,,,-1.42,0.44,,,,0.4,,,,,1.08,1.02,,,,,,,0.73,0.11,,,
445926,jesse chavez,2021,9.36,,,,,45.48,2.96,,,,,0.16,,34.81,7.22,,,,84.64,,,,,88.77,91.08,,,,,90.1,,91.2,82.29,,,,1824.0,,,,,2251.0,2068.0,,,,,2224.0,,2004.0,2230.0,,,,0.2273,,,,,0.1093,0.1,,,,,,,0.0692,0.1818,,,,-1.33,,,,,-0.09,-0.96,,,,,-0.75,,-1.36,0.58,,,,0.22,,,,,1.01,0.79,,,,,1.41,,0.7,0.18,,,
