player_name,raw_tunneling_score,num_pairs,confidence,trusted_tunneling_score,tunneling_score
"Bird, Jake",0.13825104462621182,1,0.1,0.013825104462621182,73.09236947791165
"Bivens, Spencer",-0.09883385761523633,1,0.1,-0.009883385761523634,26.104417670682732
"Boyd, Matthew",0.20342546678595932,3,0.3,0.0610276400357878,98.39357429718876
"Boyle, Joe",-0.06738243308550763,1,0.1,-0.006738243308550764,31.32530120481928
"Bradley, Taj",0.004726417031826142,6,0.6,0.0028358502190956847,50.602409638554214
"Brazobán, Huascar",-0.1713289298859407,1,0.1,-0.01713289298859407,16.867469879518072
"Brogdon, Connor",0.004126295183017101,1,0.1,0.0004126295183017101,46.98795180722892
"Brown, Ben",0.12515946244590148,1,0.1,0.012515946244590148,71.08433734939759
"Brown, Hunter",0.005606089375146496,10,1.0,0.005606089375146496,57.831325301204814
"Bubic, Kris",0.017556767387015657,3,0.3,0.0052670302161046964,57.028112449799195
"Buehler, Walker",-0.08505978941218738,6,0.6,-0.05103587364731243,4.819277108433735
"Bummer, Aaron",0.171690204217355,1,0.1,0.0171690204217355,79.11646586345381
"Burke, Sean",0.11591192557422882,3,0.3,0.034773577672268643,92.3694779116466
"Burrows, Mike",-0.1095749433965588,3,0.3,-0.032872483018967634,9.63855421686747
"Cabrera, Edward",0.03383966806666424,6,0.6,0.020303800839998543,83.53413654618474
"Cameron, Noah",0.008197973611353045,10,1.0,0.008197973611353045,63.05220883534136
"Canning, Griffin",-0.04072878961912564,3,0.3,-0.012218636885737691,22.89156626506024
"Cannon, Jonathan",-0.09425871751001759,6,0.6,-0.05655523050601055,4.417670682730924
"Cantillo, Joey",0.0606876614390831,1,0.1,0.00606876614390831,58.23293172690763
"Casparius, Ben",-0.05204167730604728,3,0.3,-0.015612503191814182,19.27710843373494
"Castillo, Luis",-0.005055562006870063,3,0.3,-0.001516668602061019,42.570281124497996
"Cease, Dylan",0.000342517608418659,1,0.1,3.4251760841865904e-05,46.1847389558233
"Cecconi, Slade",0.19445908892498395,3,0.3,0.058337726677495184,97.99196787148594
"Chapman, Aroldis",-0.2532907475551979,1,0.1,-0.025329074755519793,12.449799196787147
"Chivilli, Angel",-0.09017868050336425,1,0.1,-0.009017868050336426,28.915662650602407
"Civale, Aaron",0.06228684549114712,3,0.3,0.018686053647344138,81.12449799196787
"Cleavinger, Garrett",0.03412069309518561,1,0.1,0.003412069309518561,53.01204819277109
"Corbin, Patrick",0.010322858670497124,3,0.3,0.003096857601149137,51.40562248995983
"Crochet, Garrett",0.01510313804773947,6,0.6,0.009061882828643682,64.65863453815261
"De Los Santos, Enyel",-0.007085530245925422,1,0.1,-0.0007085530245925422,44.17670682730924
"Detmers, Reid",0.07637947117508748,1,0.1,0.007637947117508748,62.65060240963856
"Dollander, Chase",0.4025763637954019,1,0.1,0.04025763637954019,95.18072289156626
"Doval, Camilo",0.09765895633938383,1,0.1,0.009765895633938385,66.26506024096386
"Dreyer, Jack",0.02015499081856432,1,0.1,0.0020154990818564322,49.39759036144578
"Duran, Jhoan",-0.20637379780601214,1,0.1,-0.020637379780601216,14.457831325301203
"Díaz, Edwin",0.08865115173301363,1,0.1,0.008865115173301364,63.85542168674698
"Eisert, Brandon",-0.1717720873392515,1,0.1,-0.017177208733925153,16.46586345381526
"Elder, Bryce",-0.053763642681566096,3,0.3,-0.01612909280446983,18.87550200803213
"Eovaldi, Nathan",0.027495054678940596,6,0.6,0.016497032807364358,77.10843373493977
"Estrada, Jeremiah",0.24201971920606496,1,0.1,0.024201971920606496,85.54216867469879
"Evans, Logan",-0.11669300252160393,1,0.1,-0.011669300252160394,24.096385542168676
"Fairbanks, Pete",0.23366685435740583,1,0.1,0.023366685435740584,85.14056224899599
"Falter, Bailey",0.003411854280290329,1,0.1,0.00034118542802903293,46.58634538152611
"Fedde, Erick",0.03119333779218065,6,0.6,0.018716002675308388,81.52610441767068
"Festa, Matt",-0.006420034293487317,1,0.1,-0.0006420034293487317,44.57831325301205
"Finnegan, Kyle",-0.0020532183261610304,1,0.1,-0.00020532183261610305,44.97991967871486
"Fisher, Braydon",-0.09290974409896452,1,0.1,-0.009290974409896452,27.710843373493976
"Flaherty, Jack",0.09814813429719593,3,0.3,0.02944444028915878,87.95180722891565
"Fluharty, Mason",0.07333582335751197,1,0.1,0.007333582335751198,60.6425702811245
"Freeland, Kyle",0.018444068859954456,6,0.6,0.011066441315972673,68.67469879518072
"Fried, Max",0.1280610676904608,10,1.0,0.1280610676904608,100.0
"Gaddis, Hunter",-0.08250669057164174,1,0.1,-0.008250669057164175,30.522088353413658
"Gallen, Zac",0.028209489056492947,6,0.6,0.01692569343389577,78.3132530120482
"Garcia, Robert",-0.044970378703936574,3,0.3,-0.013491113611180971,21.285140562248998
"Gausman, Kevin",0.03984603008782473,1,0.1,0.003984603008782474,54.61847389558233
"Gilbert, Logan",0.010586190896225053,3,0.3,0.0031758572688675157,51.80722891566265
"Ginn, J.T.",0.12674465635928,1,0.1,0.012674465635928,71.4859437751004
"Giolito, Lucas",-0.019346317950592305,3,0.3,-0.005803895385177691,33.33333333333333
"Glasnow, Tyler",0.10448579839209647,6,0.6,0.06269147903525787,98.79518072289156
"Gordon, Colton",0.303578023125173,1,0.1,0.030357802312517303,89.5582329317269
"Gordon, Tanner",-0.014944805127176724,3,0.3,-0.004483441538153017,36.144578313253014
"Gore, MacKenzie",0.1081901077224985,3,0.3,0.03245703231674955,91.56626506024097
"Gray, Sonny",-0.03052605302415682,6,0.6,-0.018315631814494093,15.66265060240964
