player_name,n_pitch_types,velocity_range,max_velo,min_velo,raw_velocity_index,velocity_score,confidence_score,trusted_velocity_score
"Sánchez, Cristopher",3,9.656899999999993,95.404,85.7471,0.09646162616035361,44.45983379501385,75.0,45.862188365650965
"Johnson, Pierce",2,9.421199999999999,95.2529,85.8317,0.03570253711895867,41.55124653739612,50.0,45.810249307479225
"Martin, Corbin",3,9.161299999999997,95.8762,86.7149,0.08862910585824395,44.18282548476454,75.0,45.65443213296399
"Williams, Devin",2,10.408500000000004,94.1579,83.7494,0.02787785541902348,41.13573407202216,50.0,45.60249307479224
"Taillon, Jameson",6,12.693300000000008,92.3263,79.633,0.1164135625611874,45.56786703601108,100.0,45.56786703601108
"Abbott, Andrew",4,12.218800000000002,92.7834,80.5646,0.10967417412435743,45.42936288088642,100.0,45.42936288088642
"Kriske, Brooks",2,11.116100000000003,93.3857,82.2696,0.024181111790826108,40.443213296398895,50.0,45.25623268698061
"Giolito, Lucas",3,11.597499999999997,93.2589,81.6614,0.08217346955749188,43.62880886426593,75.0,45.238919667590025
"Yarbrough, Ryan",5,16.4756,88.2695,71.7939,0.10740281971597808,45.15235457063712,100.0,45.15235457063712
"Rodríguez, Manuel",3,7.812899999999999,97.2293,89.4164,0.07769800063178058,43.35180055401662,75.0,45.03116343490305
"Sousa, Bennett",2,9.39240000000001,95.0678,85.6754,0.0029797295682078917,39.473684210526315,50.0,44.77146814404432
"Gasser, Robert",2,10.8275,93.542,82.7145,0.001603130015537306,39.335180055401665,50.0,44.702216066481995
"Brown, Ben",2,8.589199999999991,95.874,87.2848,-0.0035011724527186086,39.19667590027701,50.0,44.63296398891967
"Yesavage, Trey",3,10.505700000000004,94.3163,83.8106,0.0675222130217796,42.5207756232687,75.0,44.40789473684211
"Ureña, José",4,8.765900000000002,96.3266,87.5607,0.09356451630624922,44.32132963988919,100.0,44.32132963988919
"Webb, Jacob",3,11.393500000000003,93.3724,81.9789,0.0666721214047632,42.38227146814405,75.0,44.304016620498615
"Vargas, Carlos",3,7.253599999999992,97.7319,90.4783,0.06425979900093068,42.24376731301939,75.0,44.20013850415512
"Rainey, Tanner",2,8.971400000000003,95.284,86.3126,-0.0317485267498161,37.95013850415512,50.0,44.00969529085872
"Blackburn, Paul",5,12.167200000000008,92.6907,80.5235,0.08732107338364958,43.905817174515235,100.0,43.905817174515235
"Mears, Nick",2,8.817599999999999,95.4176,86.6,-0.036143473673508966,37.67313019390582,50.0,43.87119113573407
"DeSclafani, Anthony",5,10.846800000000002,94.0549,83.2081,0.08256789812030191,43.76731301939058,100.0,43.76731301939058
"Ashcraft, Graham",2,7.210099999999997,97.0516,89.8415,-0.046002486812467026,37.257617728531855,50.0,43.66343490304709
"De Los Santos, Enyel",3,8.532499999999999,96.1581,87.6256,0.030532822285090952,41.41274238227147,75.0,43.57686980609418
"Littell, Zack",5,12.668400000000005,92.1194,79.451,0.08100687415642652,43.49030470914128,100.0,43.49030470914128
"Suarez, José",3,11.111500000000007,93.4244,82.3129,0.029318416021331985,41.27423822714682,75.0,43.4729916897507
"Henderson, Logan",2,11.087500000000006,92.9375,81.85,-0.048453195204623566,36.84210526315789,50.0,43.45567867036011
"Beeks, Jalen",3,10.1939,94.3785,84.1846,0.02693550440055141,40.99722991689751,75.0,43.26523545706371
