player_name,season,pitcher_effectiveness,pitcher_command,trusted_velocity_score,trusted_movement_score,trusted_tunneling_score,raw_tunneling_score,pitcher_effectiveness_contribution,pitcher_command_contribution,trusted_velocity_score_contribution,trusted_movement_score_contribution,paom_score,paom_confidence,effectiveness_confidence,movement_confidence,command_confidence,velocity_confidence
"Suero, Wander",2020,66.02870813397129,3.827751196172249,11.004784688995215,38.75598086124402,,,47.00168445708501,0.5048571624271332,0.7178067144701289,3.5284288724202426,51.75277720640252,23.371647509578544,23.371647509578544,50.0,88.09233610341643,50.0
"Akin, Keegan",2020,49.282296650717704,48.803827751196174,50.717703349282296,73.20574162679426,,,35.08096738463591,6.4369288209459485,3.308152684079724,6.664810092349347,51.490858982010934,21.875,21.875,100.0,70.58266666666668,100.0
"Familia, Jeurys",2020,60.28708133971292,24.880382775119617,53.110047846889955,18.181818181818183,,,42.91458146081675,3.281571555776366,3.4641976220080135,1.6553123105181387,51.31566294911927,20.0,20.0,75.0,54.82422802850357,75.0
"Pérez, Martín",2020,53.588516746411486,62.67942583732058,54.066985645933016,11.483253588516746,,,38.146294631837115,8.267036034744308,3.5266155971793287,1.0454604066430349,50.98540667040379,21.49573855380893,21.49573855380893,100.0,76.56986124556309,100.0
"Mills, Alec",2020,37.32057416267943,86.60287081339713,90.9090909090909,76.55502392344498,,,26.566169475743703,11.422393299913889,5.929707641274978,6.969736044286899,50.88800646121947,31.03448275862069,31.03448275862069,100.0,72.15026455026457,100.0
"Burnes, Corbin",2020,57.89473684210527,11.004784688995215,95.69377990430623,21.5311004784689,,,41.21162187903831,1.451464341978008,6.241797517131555,1.9602382624556902,50.86512200060356,23.371647509578544,23.371647509578544,100.0,78.92284263959391,100.0
"Velasquez, Vince",2020,42.10526315789473,70.81339712918661,44.97607655502392,93.77990430622009,,,29.972088639300583,9.339857504901966,2.9336448330518308,8.53792665425145,50.78351763150583,23.371647509578544,23.371647509578544,100.0,69.04458945078848,100.0
"Lynn, Lance",2020,50.717703349282296,72.24880382775119,39.23444976076555,25.837320574162682,,,36.10274313370298,9.52917894081214,2.559136982023938,2.3522859149468287,50.54334497148588,33.24320496314878,33.24320496314878,100.0,91.89908477842005,100.0
"Foster, Matt",2020,62.67942583732058,15.311004784688995,35.406698564593306,15.311004784688995,,,44.61754104259519,2.0194286497085328,2.3094650813386757,1.3939472088573797,50.34038198249977,20.634920634920636,20.634920634920636,50.0,72.63382594417078,50.0
"Taylor, Blake",2020,61.72248803827751,7.177033492822966,30.14354066985646,36.84210526315789,,,43.936357209883816,0.9466071795508747,1.9661662178964399,3.3541854713130697,50.20331607864421,21.875,21.875,50.0,83.86124031007753,50.0
"Skubal, Tarik",2020,59.80861244019139,22.966507177033492,51.674641148325364,11.004784688995215,,,42.573989544461064,3.029142974562799,3.3705706592510403,1.0018995563662416,49.97560273464114,23.954372623574145,23.954372623574145,75.0,75.8723667905824,75.0
"Harris, Will",2020,56.45933014354066,19.138755980861244,14.354066985645932,67.94258373205741,,,40.18984612997124,2.524285812135666,0.9362696275697333,6.185640739304622,49.83604230898126,21.568627450980397,21.568627450980397,50.0,74.75652173913042,50.0
"Rogers, Trevor",2020,48.803827751196174,59.80861244019139,54.54545454545454,39.71291866028708,,,34.74037546828023,7.888393162923957,3.5578245847649863,3.6155505729738286,49.802143788943,20.634920634920636,20.634920634920636,75.0,76.2053376906318,75.0
"Kay, Anthony",2020,46.411483253588514,40.19138755980861,78.94736842105263,66.98564593301435,,,33.03741588650178,5.301000205484899,5.149482951633533,6.098519038751037,49.586418082371246,19.67871485943775,19.67871485943775,75.0,56.55166666666666,75.0
"Javier, Cristian",2020,43.54066985645933,67.94258373205741,44.01913875598086,71.77033492822966,,,30.993864388367655,8.961214633081614,2.8712268578805156,6.534127541518967,49.36043342084875,33.99750933997509,33.99750933997509,75.0,90.1535541752933,75.0
"Weaver, Luke",2020,39.23444976076555,77.99043062200957,88.51674641148325,55.02392344497608,,,27.928537141166455,10.28646468445284,5.773662703346688,5.009497781831208,48.99816231079719,32.1277511423974,32.1277511423974,100.0,84.89641577060932,100.0
"Porcello, Rick",2020,52.15311004784689,33.97129186602871,68.42105263157895,31.100478468899524,,,37.12451888277004,4.480607316540807,4.462885224749062,2.831455267991553,48.899466692051455,28.13247080024213,28.13247080024213,100.0,80.19484046164291,100.0
"Holland, Derek",2020,51.674641148325364,65.55023923444976,30.62200956937799,15.789473684210526,,,36.78392696641436,8.645678906564656,1.9973752054820977,1.4375080591341727,48.86448913759529,24.52830188679245,24.52830188679245,75.0,85.70354406130268,75.0
"Cueto, Johnny",2020,52.63157894736842,74.64114832535886,12.918660287081341,3.827751196172249,,,37.46511079912573,9.844714667329098,0.8426426648127601,0.3484868022143449,48.500954933481935,26.258785574374933,26.258785574374933,100.0,82.28994429785988,100.0
"Sims, Lucas",2020,50.23923444976076,17.703349282296653,56.45933014354066,70.33492822966507,,,35.76215121734729,2.3349643762254915,3.682660535107617,6.4034449906885875,48.18322111936898,18.367346938775512,18.367346938775512,75.0,59.49439775910364,75.0
"Buttrey, Ty",2020,49.760765550239235,28.22966507177033,84.688995215311,37.79904306220095,,,35.4215593009916,3.723321572900107,5.523990802661426,3.4413071718666557,48.110178848419785,23.66412213740458,23.66412213740458,75.0,60.81152647975078,75.0
"Happ, J.A.",2020,56.9377990430622,47.84688995215311,3.827751196172249,5.741626794258373,,,40.53043804632693,6.310714530339165,0.2496719006852622,0.5227302033215174,47.61355468067287,21.957429739887168,21.957429739887168,100.0,74.78984651711924,100.0
"Kuhl, Chad",2020,54.066985645933016,9.090909090909092,70.33492822966507,33.97129186602871,,,38.4868865481928,1.1990357607644415,4.587721175091692,3.092820369652311,47.36646385370124,21.690142342888436,21.690142342888436,100.0,73.2689594356261,100.0
"Curtiss, John",2020,48.32535885167464,43.54066985645933,29.1866028708134,55.50239234449761,,,34.399783551924536,5.742750222608641,1.9037482427251244,5.0530586321080015,47.0993406493663,24.456083803384367,24.456083803384367,50.0,92.77697408077157,50.0
"Scherzer, Max",2020,35.406698564593306,74.16267942583733,96.17224880382776,62.67942583732058,,,25.20380181032095,9.781607522025707,6.273006504717213,5.706471386259898,46.96488722332377,29.47876586205288,29.47876586205288,100.0,78.4778785380599,100.0
"Darvish, Yu",2020,34.92822966507177,71.29186602870813,96.65071770334929,68.42105263157895,,,24.86320989396526,9.402964650205355,6.3042154923028715,6.2292015895814155,46.7995916260549,32.20338983050847,32.20338983050847,100.0,68.2451790633609,100.0
"Gomber, Austin",2020,44.01913875598086,15.789473684210526,69.377990430622,89.47368421052632,,,31.334456304723343,2.0825357950119243,4.525303199920377,8.145879001760314,46.08817430141596,21.568627450980397,21.568627450980397,75.0,72.94671864847304,75.0
"Cordero, Jimmy",2020,46.889952153110045,23.923444976076556,53.588516746411486,66.50717703349282,,,33.37800780285747,3.1553572651695827,3.495406609593671,6.054958188474243,46.08372986609497,22.779922779922774,22.779922779922774,50.0,72.56995884773663,50.0
"Valdez, Framber",2020,42.58373205741627,58.3732057416268,43.0622009569378,51.674641148325364,,,30.31268055565628,7.6990717270137825,2.8088088827092,4.704571829893657,45.52513299527292,41.526116701205964,41.526116701205964,75.0,92.17705242334323,75.0
"Cobb, Alex",2020,45.933014354066984,39.71291866028708,28.22966507177033,59.33014354066985,,,32.69682397014609,5.2378930601815075,1.8413302675538086,5.401545434322346,45.17759273220375,29.691241984269666,29.691241984269666,75.0,88.85328345802162,75.0
"Peterson, David",2020,55.980861244019145,7.655502392344498,23.923444976076556,13.875598086124402,,,39.84925421361556,1.0097143248542664,1.5604493792828888,1.2632646580270004,43.68268257577971,22.03800823323747,22.03800823323747,100.0,73.37867338371117,100.0
"Melancon, Mark",2020,44.49760765550239,42.10526315789473,24.880382775119617,49.282296650717704,,,31.67504822107903,5.553428786698465,1.6228673544542045,4.486767578509691,43.3381119407414,22.779922779922774,22.779922779922774,50.0,62.865209471766846,50.0
"Snell, Blake",2020,27.751196172248804,78.94736842105263,92.82296650717703,70.81339712918661,,,19.754331148629934,10.412678975059622,6.054543591617608,6.447005840965382,42.66855955627255,31.153775659824046,31.153775659824046,100.0,88.05572597137014,100.0
"Brasier, Ryan",2020,31.57894736842105,78.4688995215311,55.02392344497608,67.46411483253588,,,22.47906647947544,10.349571829756231,3.5890335723506444,6.142079889027829,42.55975177061014,20.634920634920636,20.634920634920636,50.0,69.4306632213609,50.0
"Hernández, Elieser",2020,33.014354066985646,86.1244019138756,27.27272727272727,61.24401913875598,,,23.500842228542506,11.359286154610498,1.7789122923824932,5.575788835429519,42.21482951096502,22.17898832684825,22.17898832684825,50.0,75.22169437846397,50.0
"Urías, Julio",2020,27.27272727272727,76.07655502392345,65.07177033492823,92.82296650717703,,,19.413739232274242,10.034036103239274,4.2444223116494575,8.450804953697864,42.14300260086083,35.71759528799876,35.71759528799876,75.0,93.23835287045387,75.0
