player_name,comp_player_name,same_hand,rank,arsenal_distance
"Civale, Aaron","Povich, Cade",False,1,0.5013407271066103
"Civale, Aaron","Gusto, Ryan",True,2,0.5820577018448282
"Civale, Aaron","Megill, Tylor",True,3,0.5908638019455729
"Civale, Aaron","Strowd, Kade",True,4,0.8222668233919357
"Civale, Aaron","Sugano, Tomoyuki",True,5,0.8494073652314396
"Civale, Aaron","Javier, Cristian",True,6,0.8517810862540459
"Civale, Aaron","Taillon, Jameson",True,7,0.8607059492780791
"Civale, Aaron","Liberatore, Matthew",False,8,0.8930477912454863
"Civale, Aaron","Newcomb, Sean",False,9,0.9060565347783396
"Civale, Aaron","Lugo, Seth",True,10,0.9095945681328006
"Lugo, Seth","Taillon, Jameson",True,1,0.3717470512198321
"Lugo, Seth","Gusto, Ryan",True,2,0.4920834505526402
"Lugo, Seth","Gómez, Yoendrys",True,3,0.4930855979182926
"Lugo, Seth","Newcomb, Sean",False,4,0.5337343368537155
"Lugo, Seth","Gibson, Cade",False,5,0.5495856569456662
"Lugo, Seth","Vasil, Mike",True,6,0.5674007602498246
"Lugo, Seth","Leahy, Kyle",True,7,0.6893243600344416
"Lugo, Seth","Schmidt, Clarke",True,8,0.8320572497526559
"Lugo, Seth","López, Pablo",True,9,0.8588750605972285
"Lugo, Seth","Civale, Aaron",True,10,0.9095945681328006
"Megill, Tylor","Povich, Cade",False,1,0.5088160989668081
"Megill, Tylor","Civale, Aaron",True,2,0.5908638019455729
"Megill, Tylor","Jobe, Jackson",True,3,0.6077155756559565
"Megill, Tylor","Verlander, Justin",True,4,0.6802754851517006
"Megill, Tylor","Liberatore, Matthew",False,5,0.7186679459823917
"Megill, Tylor","Montero, Keider",True,6,0.7317705697418195
"Megill, Tylor","Olson, Reese",True,7,0.826995108089348
"Megill, Tylor","López, Jorge",True,8,0.8911152468190555
"Megill, Tylor","Strowd, Kade",True,9,0.9037356140483107
"Megill, Tylor","Englert, Mason",True,10,0.9143460707818221
"Adam, Jason","Maton, Phil",True,1,0.6564330397943094
"Adam, Jason","Messick, Parker",False,2,0.8908970522605861
"Adam, Jason","Early, Connelly",False,3,0.9924846356644405
"Adam, Jason","Eovaldi, Nathan",True,4,1.0250078545181422
"Adam, Jason","Nola, Aaron",True,5,1.0602859029746057
"Adam, Jason","Morgan, David",True,6,1.0877838659312282
"Adam, Jason","Roupp, Landen",True,7,1.119217835229591
"Adam, Jason","Pérez, Eury",True,8,1.1325486666493199
"Adam, Jason","Koenig, Jared",False,9,1.1327027360320963
"Adam, Jason","Morton, Charlie",True,10,1.1466642901046826
"Maton, Phil","Adam, Jason",True,1,0.6564330397943094
"Maton, Phil","Morton, Charlie",True,2,0.6696221825349917
"Maton, Phil","Nola, Aaron",True,3,0.7991090833657598
"Maton, Phil","Early, Connelly",False,4,0.8454543137953994
"Maton, Phil","Sands, Cole",True,5,0.882004715354411
"Maton, Phil","Wheeler, Zack",True,6,0.9408847784501245
