player_name,pitcher,pitch_type,pitch_name,p_throws,pitches,balls,velo,spin,spin_axis,HB,IVB,extension,release_x,release_z,swing_rate,whiff_rate,called_strike_rate,chase_rate,strike_rate,xwoba,xba,avg_exit_velocity,avg_launch_angle,hard_hit_rate,sweet_spot_rate,run_value,avg_run_value,swings,whiffs,contacts,balls_in_play,csw_rate,run_value_per_100,usage
"Kremer, Dean",665152,CU,Curveball,R,344,344,78.3058,2772.3401,34.4855,6.1343,-11.4694,5.977,-2.0971,6.3182,0.4564,0.1017,0.189,0.1948,0.6453,0.3698,0.3424,82.9,14.5439,0.0814,0.1308,1.998,0.0058,157,35,122,72,0.2907,0.5808,0.1277
"Kremer, Dean",665152,FC,Cutter,R,543,543,86.8864,2400.9079,166.4899,4.8329,5.8575,5.9832,-2.0913,6.3311,0.4862,0.1105,0.1436,0.1768,0.6298,0.2861,0.275,80.023,14.0419,0.0718,0.0718,-0.503,-0.0009,264,60,204,108,0.2541,-0.0926,0.2016
"Kremer, Dean",665152,FF,4-Seam Fastball,R,715,715,93.3229,2283.5706,208.4238,-7.5642,18.1247,6.1003,-2.1954,6.208,0.4839,0.0643,0.1804,0.0979,0.6643,0.3587,0.3168,84.5095,34.4745,0.0937,0.1105,2.633,0.0037,346,46,300,124,0.2448,0.3683,0.2655
"Kremer, Dean",665152,FS,Split-Finger,R,567,567,81.8725,1131.0653,220.1481,-10.6349,9.7511,6.1164,-2.0529,6.3305,0.5485,0.2134,0.0459,0.2081,0.5944,0.2175,0.2728,77.7658,9.9185,0.0494,0.0864,-3.252,-0.0057,311,121,190,104,0.2593,-0.5735,0.2105
"Kremer, Dean",665152,PO,Pitch Out,R,1,1,91.1,2114.0,208.0,-7.56,19.8,6.2,-2.28,5.94,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.113,0.113,0,0,0,0,0.0,11.3,0.0004
"Kremer, Dean",665152,SI,Sinker,R,520,520,92.8281,2155.0423,216.025,-14.7662,12.3254,6.165,-2.5034,5.895,0.4673,0.0365,0.2635,0.0962,0.7308,0.3318,0.3335,82.7725,19.5072,0.0827,0.15,-4.829,-0.0093,243,19,224,99,0.3,-0.9287,0.1931
"Kremer, Dean",665152,SL,Slider,R,3,3,83.8667,2470.6667,90.6667,2.4,1.0,6.0,-1.8333,6.11,0.3333,0.0,0.0,0.0,0.3333,0.09,0.096,83.3,-7.0,0.0,0.0,-0.056,-0.0187,1,0,1,1,0.0,-1.8667,0.0011
"Kriske, Brooks",621139,FC,Cutter,R,42,42,86.0667,2282.0238,177.5,3.14,4.1343,6.1643,-1.1786,6.1005,0.3333,0.0952,0.119,0.119,0.4524,0.323,0.2453,88.1889,17.7778,0.0714,0.0714,1.375,0.0327,14,4,10,6,0.2143,3.2738,0.1102
"Kriske, Brooks",621139,FF,4-Seam Fastball,R,133,133,93.3857,2277.9774,202.4361,-6.1002,17.6562,6.1,-1.1938,6.0767,0.3158,0.0301,0.2256,0.0752,0.5414,0.3948,0.455,81.5303,34.0909,0.0752,0.0602,2.666,0.02,42,4,38,13,0.2556,2.0045,0.3491
"Kriske, Brooks",621139,FS,Split-Finger,R,204,204,82.2696,1061.4902,228.9706,-8.3324,0.1794,6.1985,-1.0746,6.1074,0.451,0.1275,0.1765,0.1569,0.6275,0.3148,0.325,82.6951,10.082,0.0784,0.0882,-0.51,-0.0025,92,26,66,36,0.3039,-0.25,0.5354
"Kriske, Brooks",621139,SL,Slider,R,2,2,83.3,2296.5,98.5,3.18,-0.78,5.95,-1.345,6.14,0.0,0.0,0.5,0.0,0.5,,,,,0.0,0.0,0.029,0.0145,0,0,0,0,0.5,1.45,0.0052
"Krook, Matt",640454,CH,Changeup,L,12,12,85.0583,1683.8333,101.5,16.28,-2.53,5.9667,1.8125,5.8233,0.5833,0.1667,0.0833,0.1667,0.6667,0.5299,0.407,79.7,1.2,0.0833,0.0833,1.405,0.1171,7,2,5,2,0.25,11.7083,0.169
"Krook, Matt",640454,FC,Cutter,L,17,17,87.3824,2540.4118,152.7647,-0.0988,5.7318,6.0235,1.73,6.0747,0.6471,0.2353,0.1176,0.1765,0.7647,0.2606,0.2838,87.6143,24.7143,0.0588,0.1176,-0.068,-0.004,11,4,7,4,0.3529,-0.4,0.2394
"Krook, Matt",640454,SI,Sinker,L,23,23,89.687,2130.0,122.1739,16.8104,2.5304,6.0043,1.6326,6.16,0.3913,0.0435,0.2174,0.087,0.6087,0.544,0.41,76.2625,-10.875,0.087,0.1304,-0.055,-0.0024,9,1,8,4,0.2609,-0.2391,0.3239
"Krook, Matt",640454,ST,Sweeper,L,19,19,82.4842,2875.3158,303.5789,-16.5916,0.2842,5.9158,1.9405,5.8705,0.3158,0.0,0.2105,0.1053,0.5263,0.009,0.02,77.675,33.25,0.0,0.0,-0.238,-0.0125,6,0,6,1,0.2105,-1.2526,0.2676
"La Sorsa, Joe",686747,CH,Changeup,L,14,14,85.1929,1403.8571,110.0714,12.6171,3.7714,6.5214,3.1093,5.2921,0.3571,0.0,0.0714,0.0714,0.4286,0.7772,0.5787,85.7,-3.8,0.1429,0.1429,1.867,0.1334,5,0,5,3,0.0714,13.3357,0.14
"La Sorsa, Joe",686747,FF,4-Seam Fastball,L,25,25,92.524,2192.64,122.84,14.88,12.0,6.396,3.0112,5.5192,0.56,0.0,0.16,0.08,0.72,0.3593,0.2276,85.7857,29.3571,0.08,0.24,1.566,0.0626,14,0,14,8,0.16,6.264,0.25
"La Sorsa, Joe",686747,SI,Sinker,L,39,39,91.7282,2146.8462,122.8974,17.7877,6.2154,6.3436,3.0659,5.4749,0.359,0.0256,0.3846,0.0513,0.7436,0.3163,0.2894,83.0333,11.1667,0.0256,0.1026,-0.922,-0.0236,14,1,12,12,0.4103,-2.3641,0.39
"La Sorsa, Joe",686747,ST,Sweeper,L,22,22,78.3636,2174.4091,286.8182,-12.8182,0.3873,6.2955,3.36,5.405,0.5,0.1364,0.1364,0.0,0.6364,0.2622,0.2752,75.25,20.375,0.0455,0.2273,0.623,0.0283,11,3,8,6,0.2727,2.8318,0.22
"Lange, Alex",656638,CH,Changeup,R,3,3,91.1333,1734.3333,246.3333,-15.92,-0.6,6.2,-2.2133,5.6167,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.157,0.0523,0,0,0,0,0.0,5.2333,0.15
"Lange, Alex",656638,FF,4-Seam Fastball,R,2,2,95.95,2317.5,223.5,-10.2,12.42,6.3,-2.195,5.605,0.5,0.0,0.0,0.0,0.5,0.6915,,,,0.0,0.0,0.16,0.08,1,0,1,0,0.0,8.0,0.1
"Lange, Alex",656638,SI,Sinker,R,3,3,96.1667,2172.0,221.0,-16.04,8.8,6.3,-2.0433,5.5933,0.6667,0.0,0.3333,0.0,1.0,0.5535,0.5895,109.55,2.5,0.6667,0.0,0.877,0.2923,2,0,2,2,0.3333,29.2333,0.15
