player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Bubic, Kris",2024,L,527.0,2.1446218100000003,5.67215164,6.773061640000001,88.47989297999999,0.82300926590377,-0.44721818783053124
"Buehler, Walker",2024,R,1595.0,-1.1778683300000001,5.53891688,6.54546192,89.3188137,-0.30092617110629516,-0.3870062822810105
"Bummer, Aaron",2024,L,989.0,2.4225075407540757,5.126326512651264,6.283204530453045,88.00248328832882,1.415747665244342,-0.990195207117113
"Burdi, Nick",2024,R,210.0,-1.89748773,5.42450871,6.3599994099999995,93.88114716999999,-1.2831483607869612,0.5073849143367019
"Burke, Brock",2024,L,575.0,1.76162188,6.270301280000001,6.8709721,92.22152682000001,0.018962255682448408,1.123181485302871
"Burke, Sean",2024,R,309.0,-2.32287045,6.09558451,6.8931860700000005,88.35047197,-0.7448446388322754,-0.0496252291451588
"Burnes, Corbin",2024,R,3080.0,-0.9308544145585441,5.969454504549545,6.530980141985801,90.30514555544445,-0.25527803630778845,0.46101147624960936
"Burr, Ryan",2024,R,540.0,-1.89789457,6.39909244,6.93998136,88.77958589,-0.6372429405131899,0.4588486117463191
"Bush, Ky",2024,L,328.0,2.32171688,6.28643576,6.79572009,86.15081696,1.517875230601294,-0.048300602424761765
"Buttó, José",2024,R,1356.0,-2.51488384,5.29945018,6.23365665,90.242267,-0.6713267078975571,-0.35687893923808045
"Cabrera, Edward",2024,R,1734.0,-1.32796444,6.15197222,6.67750966,92.12734666,-0.8718839735290734,0.9928352182885498
"Cabrera, Génesis",2024,L,1030.0,1.8563777099999998,5.92582908,5.97582034,90.64049587,1.3039178184606537,0.9245906647919838
"Canning, Griffin",2024,R,2869.0,-1.5769473847384738,5.900037473747375,5.922889688968897,89.36992594259425,0.3898731649416462,0.5774939311067419
"Cannon, Jonathan",2024,R,1948.0,-2.33067395,5.8024742300000005,6.15360521,88.92004596,-0.08938462896132139,0.1615993827628055
"Cano, Yennier",2024,R,1028.0,-2.2359978700000003,5.47176413,6.07940206,93.66442083000001,-1.0172758865051343,0.72025431954029
"Cantillo, Joey",2024,L,759.0,0.2664799120087991,5.941584141585841,7.399073912608739,84.97315608439156,0.2063325413184768,-1.2688273511234827
"Carrasco, Carlos",2024,R,1693.0,-1.3027611,5.896987930000001,6.62262072,87.39204893,0.06139567045159574,-0.3231803037995628
"Casparius, Ben",2024,R,269.0,-1.06769388,6.029323569999999,5.88215228,89.56478565,0.6209045200082751,0.8471570185862023
"Castillo, Luis",2024,R,2858.0,-2.2571809,5.02642976,5.358010559999999,92.28823303,-0.04949581306902153,0.29241206409561193
"Castro, Miguel",2024,R,232.0,-2.4217027,4.970694030000001,6.90473839,88.6972885,-1.220321073358876,-1.626118956922398
"Cease, Dylan",2024,R,3308.0,-1.23454599,6.095171919999999,6.295108470000001,90.92324229000002,-0.17030360024367724,0.9309953610417988
"Cecconi, Slade",2024,R,1291.0,-1.9045426600000002,5.64614891,6.62192465,88.91414774,-0.53404669666417,-0.3862013206295351
"Chafin, Andrew",2024,L,967.0,2.0977770799999997,6.269858360000001,6.595563520000001,87.31951496,1.4347166627044055,0.3056954444540747
"Chapman, Aroldis",2024,L,1128.0,0.42690158,6.102768320000001,7.39218329,94.72527348,-1.6158176634255617,1.0008962128486452
"Chargois, JT",2024,R,529.0,-1.6611445999999999,5.3789447,6.22439086,90.85731468,-0.4540193559856762,-0.0862354619112223
"Chavez, Jesse",2024,R,1072.0,-1.5933363763623638,5.140116778322168,6.280756144385562,87.81378082191782,0.033180524470075315,-1.1043884948774243
"Chirinos, Yonny",2024,R,515.0,-1.5080841700000003,6.636208280000001,6.15146304,88.80848403,0.4929305987434298,1.3738243195546698
"Chivilli, Angel",2024,R,513.0,-1.1011867800000001,5.924593890000001,6.35927572,91.16427564,-0.3001126359665139,0.6907911816762908
"Cimber, Adam",2024,R,416.0,-4.16436964,2.40139851,6.558164870000001,81.32768561,-0.7870447882394987,-6.69713259481549
"Cisnero, José",2024,R,313.0,-1.56674818,5.376320290000001,6.19841463,91.26540949,-0.4720527903888753,0.015272134834292359
"Civale, Aaron",2024,R,2734.0,-0.88611392,6.371517690000001,5.6531489100000005,86.5929345,1.652804611409172,0.8933185745136087
"Clase, Emmanuel",2024,R,1106.0,-0.7049320199999999,6.05362847,6.595020379999999,97.80461773,-1.7138047932891316,2.102255744995691
"Cleavinger, Garrett",2024,L,1056.0,1.0083616438356164,5.287257224277572,6.00370393960604,90.14638136186382,0.8649582109791737,-0.14799681113800303
"Clevinger, Mike",2024,R,303.0,-2.0103768976897687,5.627860726072607,6.730015511551155,87.41450891089109,-0.4057647178758564,-0.8029614035835213
"Cobb, Alex",2024,R,348.0,-2.20518904890489,5.547689408940894,5.916097929792979,90.61202149214921,-0.18448500932879014,0.3121246691001266
"Cole, Gerrit",2024,R,1986.0,-2.3359145914591464,5.987321832183218,6.227645314531455,91.46201738173819,-0.6242902206523431,0.9067712090178127
"Contreras, Roansy",2024,R,1058.0,-1.1311184418441844,5.933906760676068,6.435085808580857,89.21100995099508,-0.008157870356568132,0.2444898681375139
"Corbin, Patrick",2024,L,2888.0,2.452335483548355,6.250681178117812,6.730457625762576,85.6789497349735,1.7230253943210496,-0.1493862903392306
"Cortes, Nestor",2024,L,2866.0,1.2354661666166618,5.719496139613962,5.843120352035204,87.64718140814081,1.7677396441127915,0.08049594568326056
"Cosgrove, Tom",2024,L,299.0,2.76563712,4.71687468,5.866529719999999,83.23826148,2.8416252976944283,-2.2751737479219662
"Coulombe, Danny",2024,L,477.0,-0.6934892699999999,6.135908800000001,5.7251473200000005,85.13275156,1.8523777867564208,0.20086123568164868
"Cousins, Jake",2024,R,760.0,-3.18271938,5.66702281,6.99187768,86.51796028999999,-0.9379355868644221,-1.144550866668202
"Crawford, Kutter",2024,R,2823.0,-1.19022687,6.01994959,6.1010593900000005,86.78781438,0.8704281161629348,0.09967203087266573
"Criswell, Cooper",2024,R,1756.0,-1.75933404,4.977120910000001,6.76152639,83.99078708,0.12013708044664244,-2.4780437948029443
"Criswell, Jeff",2024,R,354.0,-3.0712914500000004,5.42964595,6.37150646,90.80249922,-1.100197871305629,-0.16119606900412128
"Crochet, Garrett",2024,L,2395.0,2.51608704,6.10200834,7.01815278,93.94664350000002,-0.28142556120218465,1.15128319962303
"Cronin, Declan",2024,R,1096.0,-1.8902231300000003,5.268336050000001,5.8536588300000005,90.09697263000001,0.013964114413185442,-0.15020076469988158
"Crouse, Hans",2024,R,437.0,-0.9982128799999999,5.81435084,5.18399136,88.57090674,1.5910465586925002,0.820056174466916
"Cruz, Fernando",2024,R,1110.0,-1.0960794999999999,6.0300818,6.84343118,87.62578548,-0.12742973370484045,-0.23104263205673772
"Cuas, Jose",2024,R,319.0,-4.417782091790821,4.1922917708229175,6.4498508649135085,89.67171451854813,-1.8392820312677678,-2.2854965444083115
