player_name,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Civale, Aaron",1796.0,-0.7674984954864593,6.276377131394182,5.550782347041123,87.3396188565697,-0.9709224177488593,1.7259979919975288
"Clarke, Taylor",865.0,-0.8695225225225225,6.054236236236237,6.221177177177177,90.8333093093093,0.2496872480648645,0.7459807501624292
"Clase, Emmanuel",739.0,-0.9220090817356207,5.992629667003028,6.679295660948537,95.74732391523713,1.7588501525034361,0.364677857995438
"Cleavinger, Garrett",769.0,1.1668136363636363,5.240827272727271,5.984513636363637,92.37542727272728,-0.55660314916802,0.31246917381668027
"Corbin, Patrick",2504.0,2.6340465356773533,6.165836608066184,6.769047569803517,85.68148397104449,-1.6841110303569145,0.5290373438344113
"Cortes, Nestor",435.0,1.0053507565337003,5.77660522696011,5.881118294360385,88.47267262723521,-1.2706742018929302,0.9618382472664472
"Coulombe, Danny",698.0,-0.6095257731958763,6.085703092783507,5.913414432989691,86.39307422680413,-1.1223246119178651,0.9586527962857199
"Cox, Austin",291.0,1.4330293255131965,6.32358357771261,6.348143695014663,89.7899677419355,-0.4815373649068268,1.327490524374335
"Crismatt, Nabil",338.0,-2.6506951026856242,5.6219304897314375,6.79842496050553,84.50134755134282,-0.6557500926295622,-1.3199081478906143
"Crochet, Garrett",3149.0,2.443034034034034,6.120867867867867,6.730316316316315,92.24686686686687,-0.03066124401050099,0.8765203499359644
"Cruz, Fernando",789.0,-2.2351855010660984,6.027068230277185,6.970974413646056,85.46463539445628,-0.21566361789729663,-0.812717568689452
"Cruz, Steven",642.0,-3.230558,5.629269,6.759332,94.89485,2.100862765345186,-0.7325875190427605
"Curtiss, John",459.0,-2.4581781472684083,6.361057007125891,6.394128266033254,92.92617339667457,1.5245998784818426,0.8192744623540372
"Curvelo, Luis",232.0,-3.248662464985994,5.803859943977591,6.648859943977593,89.64854341736695,0.8128210738562545,-0.6587956753290565
"Dana, Caden",517.0,-1.8730434782608696,5.8583869565217395,6.5675739130434785,90.43590652173913,0.5722888310278156,-0.182561475381781
"Darvish, Yu",1154.0,-2.385090909090909,5.335136874361594,6.651359550561799,86.79376302349336,-0.40679992509595814,-1.366919267930828
