player_name,pitch_type,pitches,mean_release_x,mean_release_z,std_release_x,std_release_z
"Agnos, Zach",FC,176,-1.8720454545454546,5.861875,0.1593534012611796,0.0844573011307235
"Agnos, Zach",FF,155,-1.6353548387096775,5.953677419354839,0.2123287007636822,0.1039793895338996
"Agnos, Zach",FS,108,-1.872962962962963,5.854814814814815,0.17021843722830757,0.1024602177777708
"Agnos, Zach",ST,86,-1.8860465116279068,5.897790697674418,0.12236184593503516,0.08054813924590776
"Akin, Keegan",CH,211,1.9012322274881517,5.745165876777251,0.16078201185890054,0.07838455855930532
"Akin, Keegan",FF,543,1.812817679558011,5.95268876611418,0.1554234125787729,0.08099558551900804
"Akin, Keegan",SL,304,1.9601973684210525,5.7885526315789475,0.1381369215740773,0.08748339131188392
"Alcala, Jorge",CU,246,-1.951260162601626,6.648008130081301,0.5348305447812366,0.10491053494189842
"Alcala, Jorge",FF,491,-2.031405295315682,6.629124236252546,0.5095526856784361,0.10884105075647078
"Alcala, Jorge",SI,138,-1.8571739130434783,6.6248550724637685,0.5316590053790448,0.09907775835352542
"Alcala, Jorge",SL,163,-2.1561963190184046,6.588098159509202,0.4903793046770047,0.1148404805991607
"Alcantara, Sandy",CH,672,-1.7357886904761906,5.939017857142857,0.16826006233010812,0.0931958803266402
"Alcantara, Sandy",FC,482,-1.690850622406639,5.964896265560165,0.16303100507901988,0.09164748532320291
"Alcantara, Sandy",FF,495,-1.661131313131313,5.9723030303030304,0.16047479189990158,0.08613818276037724
"Alcantara, Sandy",SI,747,-1.7442704149933066,5.93863453815261,0.1822597113487423,0.10078516974687018
"Alcantara, Sandy",SL,495,-1.7127070707070706,5.972121212121212,0.20570198031858852,0.16622671659594512
"Aldegheri, Sam",CH,72,2.001527777777778,5.77625,0.23088110300448933,0.08409313247571111
"Aldegheri, Sam",FF,143,1.786853146853147,6.149020979020978,0.20546552975154722,0.06284694895856865
"Aldegheri, Sam",SL,53,1.8764150943396227,6.072264150943396,0.2269623345540861,0.08144468414050166
"Alexander, Jason",CH,410,-1.460268292682927,5.533804878048781,0.17052249984406198,0.11974774209369342
"Alexander, Jason",FF,127,-1.406771653543307,5.772992125984252,0.150969785107809,0.11767803102162665
"Alexander, Jason",SI,500,-1.6281400000000001,5.44346,0.17328125457294197,0.14704786482332285
"Alexander, Jason",ST,200,-1.9397499999999999,5.3372,0.14132694017808667,0.12369585003783648
"Alexander, Scott",SI,204,1.4416176470588233,5.592843137254902,0.2560861748477082,0.08052631612174169
"Alexander, Scott",SL,65,1.706,5.611384615384615,0.2821613013862816,0.07749751857069635
"Alexander, Tyler",CH,254,1.9444094488188977,5.372322834645669,0.24551519935015817,0.11052032037434688
"Alexander, Tyler",FC,271,1.7666051660516606,5.52520295202952,0.21701917267040363,0.1048201959201316
"Alexander, Tyler",FF,414,1.7607487922705316,5.574830917874396,0.21318902180437976,0.10231625193393822
"Alexander, Tyler",SI,291,1.869209621993127,5.422027491408935,0.26157294896689093,0.1113259238029564
"Alexander, Tyler",ST,355,2.020507042253521,5.235971830985916,0.26263069779605486,0.15869114833599665
"Allard, Kolby",CH,200,2.13655,5.55765,0.10093829898014445,0.08540755088833644
"Allard, Kolby",CU,132,1.909848484848485,5.59469696969697,0.09061271373718241,0.08175031240633496
"Allard, Kolby",FC,193,2.0032642487046632,5.394974093264249,0.1088348214065906,0.08861271278440874
"Allard, Kolby",FF,389,2.048508997429306,5.313830334190231,0.10710260061274346,0.07795373995075994
"Allard, Kolby",SI,86,2.0103488372093024,5.281976744186046,0.09061161689473958,0.08783433292875659
"Allen, Logan",CH,497,2.3717102615694166,5.271750503018109,0.140772968945096,0.1326283391113358
"Allen, Logan",FC,306,2.3823202614379086,5.276307189542483,0.15330086794509123,0.17010052114089344
"Allen, Logan",FF,900,2.303777777777778,5.318244444444445,0.16908033499966546,0.188836453131785
"Allen, Logan",SI,366,2.4668852459016395,5.045191256830601,0.12859247704116755,0.15295210649824864
"Allen, Logan",ST,636,2.432374213836478,5.184245283018868,0.16229997956106704,0.17309110857429583
"Altavilla, Dan",CH,107,-2.190467289719626,5.121121495327103,0.09074516648669664,0.10334342000398597
"Altavilla, Dan",FF,121,-2.0546280991735535,5.200743801652893,0.09500913396716183,0.11886382467103702
"Altavilla, Dan",SI,114,-2.087105263157895,5.178421052631579,0.11318184666514254,0.09900906320692214
"Altavilla, Dan",SL,114,-2.1382456140350876,5.206666666666666,0.09707442281396206,0.10276415706072388
"Alvarado, Elvis",FF,372,-2.3952150537634407,5.713279569892474,0.14385604885315503,0.12702270659684892
"Alvarado, Elvis",SI,117,-2.4464957264957268,5.666153846153847,0.14710022527067448,0.13516813383036344
"Alvarado, Elvis",SL,245,-2.4829387755102044,5.618734693877551,0.14988088278057568,0.1192584284938034
"Alvarado, José",FC,139,1.20568345323741,6.568920863309353,0.10976292211874975,0.13974972789106277
"Alvarado, José",SI,287,1.3690940766550523,6.467038327526132,0.1442749470608349,0.137883382599909
"Alvarez, Andrew",CU,113,1.370353982300885,6.369557522123894,0.1808458755974458,0.09548176135235521
"Alvarez, Andrew",FF,142,1.3324647887323944,6.33669014084507,0.24707705927394114,0.17627236272188107
"Alvarez, Andrew",SL,121,1.398099173553719,6.317933884297521,0.1786258382279693,0.10992358978984718
"Anderson, Grant",FF,392,-2.468290816326531,4.538010204081633,0.242425693769954,0.126756184584394
"Anderson, Grant",SI,298,-2.5552348993288594,4.487181208053691,0.27990398520353066,0.12507280324003384
"Anderson, Grant",ST,451,-2.578159645232816,4.076563192904656,0.2490362423670864,0.12455764349624739
"Anderson, Ian",CH,71,-1.8143661971830984,6.1269014084507045,0.14328525389551924,0.08442395647302545
"Anderson, Ian",FF,104,-1.6489423076923078,6.143653846153847,0.1143229819944291,0.08194312131408285
"Anderson, Nick",CH,51,-1.0331372549019608,6.343333333333333,0.113709985420427,0.0749844428309408
"Anderson, Nick",CU,71,-0.7759154929577464,6.411126760563381,0.09977943482342484,0.0753951361783771
"Anderson, Nick",FF,116,-0.8329310344827586,6.442758620689656,0.11756971838300742,0.07294531849443675
"Anderson, Shaun",FF,60,-1.5594999999999999,6.0553333333333335,0.28169839021699683,0.11052213010496086
"Anderson, Shaun",SL,67,-1.817910447761194,6.032388059701493,0.3693341154409978,0.17231128941926513
"Anderson, Tyler",CH,795,1.2950440251572326,6.460289308176101,0.1566778588692359,0.11136113139598018
"Anderson, Tyler",FC,480,1.5697291666666666,6.209229166666666,0.1772043675365907,0.12164336449048556
"Anderson, Tyler",FF,892,1.3214461883408073,6.296748878923767,0.18837253969622383,0.1037153346892137
"Anderson, Tyler",SI,85,2.2463529411764704,5.675058823529412,0.42270626708778997,0.3934209654078044
"Anderson, Tyler",SL,81,2.1476543209876544,5.691851851851852,0.5835072227593637,0.5757193567857332
"Arias, Luarbert",FF,59,-1.0569491525423729,6.08593220338983,0.4702246500428175,0.1220107208979063
"Arias, Luarbert",SL,96,-0.9035416666666666,6.0521875,0.32889921401921307,0.10955607192089756
"Armstrong, Shawn",FC,269,-1.5744981412639405,5.838624535315985,0.16631270278746732,0.07653384477322453
"Armstrong, Shawn",FF,323,-1.618173374613003,5.746068111455108,0.17920131892660918,0.08335187891759294
"Armstrong, Shawn",SI,264,-1.6523484848484848,5.661363636363636,0.15392635564930088,0.0797741367436242
"Armstrong, Shawn",ST,261,-1.46455938697318,5.880459770114943,0.1880473991956238,0.08076901604114432
