player_name,pitch_type,HB,IVB,usage,velo,pitches
"Banks, Tanner",FF,2.3037,14.4989,0.2132,92.6674,233
"Banks, Tanner",SI,13.8125,8.9293,0.1226,92.2164,134
"Banks, Tanner",SL,-4.8312,4.6076,0.355,87.2711,388
"Banks, Tanner",ST,-12.6198,2.9236,0.2443,82.0903,267
"Barlow, Scott",CU,16.6484,-8.1944,0.1641,78.4206,209
"Barlow, Scott",FF,-3.5787,12.3414,0.2127,92.2745,271
"Barlow, Scott",SI,-12.8779,9.2086,0.1468,92.5107,187
"Barlow, Scott",SL,7.5774,1.1812,0.19,84.2566,242
"Barlow, Scott",ST,13.2454,6.6464,0.2841,81.5301,362
"Barnes, Jacob",FC,4.8907,4.5922,0.5616,87.411,82
"Barnes, Jacob",FF,-2.5778,17.0444,0.3699,94.1352,54
"Barnett, Mason",CU,8.856,-15.9305,0.1508,78.4662,65
"Barnett, Mason",FF,-0.6313,15.3433,0.5336,94.3326,230
"Barnett, Mason",ST,14.0765,1.6604,0.2135,84.812,92
"Bassitt, Chris",CU,16.801,-11.4808,0.1614,71.3034,472
"Bassitt, Chris",FC,0.7967,8.4824,0.1658,88.5831,485
"Bassitt, Chris",FF,-5.1596,11.1976,0.0981,91.5683,287
"Bassitt, Chris",SI,-16.2262,4.5263,0.4168,91.6103,1219
"Bassitt, Chris",ST,19.2874,-0.7207,0.0591,72.6162,173
"Basso, Brady",FF,4.6189,16.4756,0.5243,92.6917,108
"Bauers, Jake",FA,4.5048,17.341,0.7975,67.3714,63
"Bautista, Félix",FS,-8.8016,10.5144,0.2855,88.9061,179
"Bautista, Félix",SI,-4.7712,20.64,0.6172,97.2238,387
"Bautista, Félix",SL,5.8316,0.7432,0.0909,85.393,57
"Baz, Shane",CH,-16.7255,8.9244,0.1144,89.2707,311
"Baz, Shane",FC,2.5146,7.7349,0.1472,90.202,400
"Baz, Shane",FF,-9.9042,16.6529,0.4393,96.9581,1194
"Baz, Shane",KC,7.5531,-12.479,0.2689,84.9756,731
"Bazardo, Eduard",FF,-8.3431,16.1817,0.1271,94.8571,177
"Bazardo, Eduard",SI,-16.2035,10.8516,0.4393,95.5387,612
"Bazardo, Eduard",ST,16.0662,-4.0014,0.4121,82.5608,574
"Beck, Tristan",CU,8.1038,-14.4111,0.1726,80.6021,141
"Beck, Tristan",FF,-9.6529,15.6858,0.3305,94.6726,270
"Beck, Tristan",SL,3.4834,6.3366,0.213,89.8155,174
"Beck, Tristan",ST,18.6228,-1.7136,0.284,83.1134,232
"Bednar, David",CU,8.1016,-7.499,0.3674,77.6742,403
"Bednar, David",FF,-8.1836,18.0508,0.4348,97.0677,477
"Bednar, David",FS,-7.9797,5.275,0.1978,92.324,217
"Beeks, Jalen",CH,15.8838,9.8108,0.3766,88.827,345
"Beeks, Jalen",FC,-2.4818,0.8637,0.0993,84.1846,91
"Beeks, Jalen",FF,6.6592,15.688,0.524,94.3785,480
"Beeter, Clayton",FF,-3.7343,17.9986,0.5398,96.4729,251
"Beeter, Clayton",SL,4.2308,-5.2822,0.4602,87.4318,214
"Bello, Brayan",CH,-16.0557,4.5528,0.1519,88.7795,414
"Bello, Brayan",FC,0.8537,2.5879,0.1571,88.2376,428
"Bello, Brayan",FF,-7.6539,13.5119,0.1512,95.065,412
"Bello, Brayan",SI,-16.9186,5.6786,0.3505,95.2936,955
"Bello, Brayan",ST,9.8888,-3.1877,0.1894,85.6715,516
"Bellozo, Valente",CH,-15.9707,4.7328,0.1445,81.5183,191
"Bellozo, Valente",FC,5.1071,9.0516,0.3502,84.568,463
"Bellozo, Valente",FF,-3.3682,17.4606,0.2874,90.8258,380
"Bellozo, Valente",ST,14.8291,3.4777,0.1551,78.7244,205
"Bender, Anthony",SI,-18.3709,3.3726,0.2682,96.6029,210
"Bender, Anthony",SL,4.571,-1.0539,0.2235,87.3646,175
"Bender, Anthony",ST,16.765,2.254,0.4598,83.9058,360
"Bergert, Ryan",CH,-14.4703,7.4582,0.0755,87.5515,99
"Bergert, Ryan",FF,-7.7667,18.6619,0.4253,93.4247,558
"Bergert, Ryan",SI,-14.947,13.9842,0.0655,92.464,86
"Bergert, Ryan",SL,3.8293,3.6137,0.2477,87.4249,325
"Bergert, Ryan",ST,14.9985,-0.5944,0.1784,82.6449,234
"Bernardino, Brennan",CH,15.1835,0.6058,0.1248,79.8019,104
"Bernardino, Brennan",CU,-15.6153,1.1775,0.2629,79.216,219
"Bernardino, Brennan",FC,-1.9421,5.8031,0.1236,86.4592,103
"Bernardino, Brennan",SI,15.9923,4.9798,0.4454,90.7307,371
"Berríos, José",CH,-14.4199,4.3587,0.168,85.1892,434
"Berríos, José",FC,0.058,9.9995,0.0577,89.543,149
"Berríos, José",FF,-9.8073,15.2216,0.1792,92.9911,463
"Berríos, José",SI,-16.0583,10.7892,0.3355,92.1654,867
"Berríos, José",SV,14.8899,-4.5118,0.2593,82.5555,670
"Bibee, Tanner",CH,-11.9647,11.4561,0.1512,81.7974,462
"Bibee, Tanner",CU,10.2839,-8.6128,0.0533,79.6926,163
"Bibee, Tanner",FC,7.8685,3.176,0.2104,86.2991,643
