player_name,pitch_type,pitches,command_dispersion,dispersion_z,dispersion_z_relative,used_handedness_split,avg_clusters_per_split,raw_command_score,command_score,confidence_score,trusted_command_score
"Guerrero, Luis",FF,107,1.045288560440211,1.4974276800106994,1.4974276800106994,True,1.0,-1.4974276800106994,7.5984251968503935,35.66666666666667,34.88943569553806
"Patrick, Chad",SL,107,1.1243204953638983,1.5050828804127054,1.5050828804127054,True,1.0,-1.5050828804127054,7.440944881889763,35.66666666666667,34.83326771653543
"Waldrep, Hurston",SI,162,0.9552185640287568,0.7027720011021673,0.7027720011021673,True,1.0,-0.7027720011021673,21.8503937007874,54.0,34.80826771653543
"Civale, Aaron",FF,287,0.9619962762762186,0.31799898962788853,0.31799898962788853,True,1.0,-0.31799898962788853,34.05511811023622,95.66666666666667,34.746916010498694
"Woodruff, Brandon",SI,299,0.926285461317014,0.30199650385369603,0.30199650385369603,True,1.0,-0.30199650385369603,34.68503937007874,99.66666666666667,34.73615485564304
"Adam, Jason",ST,92,1.3984244509251125,4.0547139135787935,4.0547139135787935,True,1.0,-4.0547139135787935,0.11811023622047244,30.666666666666664,34.71653543307087
"Winn, Cole",SL,119,1.0926319813594525,1.1672372066741887,1.1672372066741887,True,1.0,-1.1672372066741887,11.377952755905511,39.666666666666664,34.691797900262465
"Bachar, Lake",FS,139,1.151862177431883,0.9122798422424848,0.9122798422424848,True,1.0,-0.9122798422424848,16.92913385826772,46.33333333333333,34.687729658792655
"Thornton, Trent",FF,217,0.9722207116214405,0.4627782151006357,0.4627782151006357,True,1.0,-0.4627782151006357,28.818897637795278,72.33333333333334,34.684448818897636
"Peralta, Luis",CU,118,1.2479506324320147,1.1977731079851075,1.1977731079851075,True,1.0,-1.1977731079851075,10.984251968503937,39.33333333333333,34.665748031496065
"Díaz, Alexis",SL,146,1.0617707046481675,0.8382110863110788,0.8382110863110788,True,1.0,-0.8382110863110788,18.46456692913386,48.66666666666667,34.66286089238845
"Matsui, Yuki",ST,114,1.1390383203017207,1.2987117121877796,1.2987117121877796,True,1.0,-1.2987117121877796,9.566929133858268,38.0,34.64763779527559
"Bradish, Kyle",SL,158,1.0534063453595346,0.7490348441287304,0.7490348441287304,True,1.0,-0.7490348441287304,20.708661417322833,52.666666666666664,34.58254593175853
"Pilkington, Konnor",SL,97,1.1992799469373596,2.3042597183153206,2.3042597183153206,True,1.0,-2.3042597183153206,2.1653543307086616,32.33333333333333,34.54678477690289
"Klein, Will",FF,221,0.9718454438068458,0.45746437803214013,0.45746437803214013,True,1.0,-0.45746437803214013,29.015748031496063,73.66666666666667,34.54678477690288
"Seymour, Ian",FC,214,0.9659157105609739,0.4858760025380089,0.4858760025380089,True,1.0,-0.4858760025380089,28.267716535433067,71.33333333333334,34.50328083989501
"Patrick, Chad",SI,487,0.9267872248919036,0.3089468315883687,0.3089468315883687,True,1.0,-0.3089468315883687,34.488188976377955,100.0,34.488188976377955
"Erceg, Lucas",SL,283,1.0140579693580434,0.32952389455011627,0.32952389455011627,True,1.0,-0.32952389455011627,33.503937007874015,94.33333333333334,34.43982939632546
