player_name,comp_player_name,rank,physical_distance
"Ashcraft, Graham","Peralta, Wandy",2,1.3078079656997899
"Ashcraft, Graham","Stanek, Ryne",3,1.3616421428309409
"Ashcraft, Graham","Keller, Brad",4,1.408698695177984
"Ashcraft, Graham","Alcala, Jorge",5,1.4586936733238658
"Ashcraft, Graham","Peguero, Joel",6,1.5155019993972587
"Ashcraft, Graham","Brieske, Beau",7,1.5225951067471077
"Ashcraft, Graham","Montas, Frankie",8,1.522716116200299
"Ashcraft, Graham","Beeter, Clayton",9,1.5917059397383386
"Ashcraft, Graham","Márquez, Germán",10,1.626047134972108
"Assad, Javier","Woodruff, Brandon",1,0.23134452677084638
"Assad, Javier","Zeferjahn, Ryan",2,0.29695448436753924
"Assad, Javier","Pérez, Eury",3,0.3011674080985749
"Assad, Javier","Cabrera, Edward",4,0.32208576384155385
"Assad, Javier","Martin, Davis",5,0.3372484961963746
"Assad, Javier","Dana, Caden",6,0.3532144446020156
"Assad, Javier","Brzykcy, Zach",7,0.3532738734146378
"Assad, Javier","Kittredge, Andrew",8,0.35377693242341357
"Assad, Javier","Pallante, Andre",9,0.3845777523550126
"Assad, Javier","Dobbins, Hunter",10,0.4428922034369899
"Bachar, Lake","Santana, Dennis",1,0.37150106493136015
"Bachar, Lake","Sims, Lucas",2,0.42331488524566346
"Bachar, Lake","Knack, Landon",3,0.450204648953565
"Bachar, Lake","Schmidt, Clarke",4,0.45888344287844
"Bachar, Lake","Kelly, Merrill",5,0.4686926324569739
"Bachar, Lake","Patrick, Chad",6,0.47361579059710157
"Bachar, Lake","Canning, Griffin",7,0.5178441267502332
"Bachar, Lake","Adams, Travis",8,0.5937893894819716
"Bachar, Lake","Garcia, Rico",9,0.610780646546125
"Bachar, Lake","Vasil, Mike",10,0.6114178190124737
"Bachman, Sam","Buttó, José",1,0.17822695586124437
"Bachman, Sam","De Los Santos, Enyel",2,0.2556833327864285
"Bachman, Sam","Bello, Brayan",3,0.2866869107348272
"Bachman, Sam","Perkins, Jack",4,0.2909494955000475
"Bachman, Sam","Mlodzinski, Carmen",5,0.4364707380037646
"Bachman, Sam","Fulmer, Carson",6,0.45263601293903094
"Bachman, Sam","Dollander, Chase",7,0.47300523587947924
"Bachman, Sam","Meyer, Max",8,0.49443929275981724
"Bachman, Sam","Soriano, George",9,0.5432106866502845
"Bachman, Sam","Garrett, Reed",10,0.5655421557779307
"Backhus, Kyle","Poulin, PJ",1,1.4896873186495259
"Backhus, Kyle","Eisert, Brandon",2,1.6631402453516844
"Backhus, Kyle","Manaea, Sean",3,1.785537536442329
"Backhus, Kyle","Sale, Chris",4,1.8236275948163778
"Backhus, Kyle","Palmquist, Carson",5,1.833400094647635
"Backhus, Kyle","Milner, Hoby",6,1.9097690655239365
