player_name,n_pitch_types,horizontal_coverage,horizontal_coverage_pre_dampening,vertical_coverage,vertical_coverage_pre_dampening,velocity_range,hull_area,hull_area_pre_dampening,hull_method,fastball_relative_break,fastball_relative_break_pre_dampening,anchor_type,no_anchor_available,avg_nn_distance,avg_nn_distance_pre_dampening,quadrant_coverage_count,confidence_score,raw_movement_score,movement_score,trusted_movement_score
"Shuster, Jared",3,15.368181880863322,14.1592,14.04416533628505,13.0315,8.31519999999999,101.18957857339551,89.128057025,hull,14.304126731736082,14.122048080410021,FF,False,13.50754502043833,13.747159040224972,2,75.0,-0.7578625447387469,27.146814404432135,32.87742382271468
"Finnegan, Kyle",2,5.244439680809544,1.2197000000000013,16.9110955711167,13.539900000000001,8.8857,56.66781034594933,16.51461603000002,bbox,14.200871155208215,13.59472545143888,FF,False,12.797042650084643,13.59472545143888,1,50.0,-1.4218953692663032,15.650969529085874,32.8601108033241
"Seymour, Carson",4,14.570224080917102,16.177,18.8631351014534,20.209,9.868099999999998,134.81148741084172,150.84163863,hull,14.918129406047795,15.16011780716501,SI,False,11.483691256775334,11.16523649499438,2,100.0,-0.525421351640005,32.825484764542935,32.825484764542935
"Cameron, Noah",5,10.198466280970884,14.621,23.801204866621752,27.5056,11.423100000000005,138.0858044632879,182.20762845,hull,16.783346710991985,17.449402164552478,FF,False,9.234666242782835,8.358142699434287,3,100.0,-0.5264547310808332,32.686980609418285,32.686980609418285
"Hiraldo, Yaramil",3,14.33438188086332,13.125399999999999,16.677765336285052,15.665100000000002,8.373099999999994,93.36942962339552,81.30790807500001,hull,14.960853663768235,14.778775012442175,FF,False,12.1707863333881,12.410400353174742,2,75.0,-0.778291483792141,26.73130193905817,32.565789473684205
"Iglesias, Raisel",4,24.9512240809171,26.558,9.2457351014534,10.5916,11.122699999999995,140.03828965084168,156.06844086999996,hull,14.368148544676883,14.610136945794098,FF,False,10.521449943345077,10.202995181564123,2,100.0,-0.5475743036488157,32.40997229916898,32.40997229916898
"Chapman, Aroldis",4,19.7105240809171,21.3173,13.218935101453402,14.564800000000002,12.745500000000007,149.96132862084173,165.99147984,hull,13.704340279050745,13.94632868016796,FF,False,11.619422581178325,11.300967819397371,2,100.0,-0.5481597060536982,32.27146814404433,32.27146814404433
"Yarbrough, Ryan",5,25.674866280970882,30.0974,8.911504866621751,12.6159,16.4756,142.50755598328794,186.62937997000003,hull,14.774502236754126,15.440557690314616,SI,False,9.62240054479844,8.745877001449893,3,100.0,-0.5535860622993252,32.13296398891966,32.13296398891966
"Yoho, Craig",2,4.707039680809544,0.6823000000000015,16.1956955711167,12.8245,15.623099999999994,48.903350665949326,8.750156350000019,bbox,13.448783031826217,12.842637328056881,FF,False,12.044954526702645,12.842637328056881,2,50.0,-1.6469317436490538,13.850415512465375,31.95983379501385
"Singer, Brady",5,20.46336628097088,24.8859,11.875204866621752,15.579600000000001,10.573400000000007,103.31943783828793,147.441261825,hull,18.90064906461498,19.566704518175474,SI,False,8.955250214128016,8.078726670779469,3,100.0,-0.5686278211708508,31.855955678670362,31.855955678670362
"Parker, Mitchell",4,9.860224080917103,11.467,23.6165351014534,24.962400000000002,11.811999999999998,106.10561030084178,122.13576152000006,hull,17.551707754153977,17.793696155271192,FF,False,9.987052397004794,9.66859763522384,3,100.0,-0.5774617887589117,31.71745152354571,31.71745152354571
"Zeferjahn, Ryan",4,18.329524080917103,19.936300000000003,15.296735101453399,16.642599999999998,13.480800000000002,79.79403395084171,95.82418516999999,hull,19.00382838382822,19.245816784945436,FF,False,9.342995644541842,9.024540882760888,3,100.0,-0.5890117980511766,31.57894736842105,31.57894736842105
"Palmquist, Carson",3,20.910781880863322,19.7018,12.50336533628505,11.4907,16.519099999999995,17.733247588395507,5.671726040000003,hull,18.94454804743066,18.7624693961046,FF,False,10.075677898626784,10.315291918413426,2,75.0,-0.8301444243049474,25.346260387811636,31.527008310249307
"Stewart, Brock",5,25.583266280970882,30.0058,8.43390486662175,12.1383,11.502499999999998,147.22195070328792,191.34377469,hull,14.906905392840303,15.572960846400793,FF,False,8.99158166788174,8.115058124533192,2,100.0,-0.5987298076440359,31.301939058171747,31.301939058171747
"Blalock, Bradley",5,8.642866280970882,13.0654,22.83970486662175,26.5441,13.607100000000003,131.67136938828793,175.793193375,hull,17.379864747995786,18.045920201556278,FF,False,9.595374294332633,8.718850750984085,3,100.0,-0.6007951645039878,31.163434903047094,31.163434903047094
"Estévez, Carlos",3,17.93088188086332,16.721899999999998,15.25916533628505,14.246500000000001,8.528500000000008,87.45766476339551,75.39614321500001,hull,13.973230459758602,13.791151808432542,FF,False,11.370190619257658,11.609804639044299,2,75.0,-0.8402936780517628,24.792243767313018,31.111495844875346
"Lao, Sauryn",2,12.715439680809542,8.6907,8.405795571116702,5.034600000000001,5.93010000000001,83.90739253594931,43.754198220000006,bbox,10.649823498780485,10.043677795011149,FF,False,9.245994993656913,10.043677795011149,2,50.0,-1.907044373786124,12.049861495844876,31.059556786703602
"Hernández, Carlos",4,14.245624080917102,15.8524,22.136535101453397,23.4824,15.045600000000007,82.26249973584169,98.29265095499997,hull,17.991618054697227,18.233606455814442,FF,False,8.644696491147231,8.326241729366277,3,100.0,-0.6097078318425789,30.747922437673132,30.747922437673132
"Herget, Kevin",2,10.94083968080954,6.916099999999998,10.2020955711167,6.8309000000000015,10.655299999999997,87.3963818059493,47.24318749,bbox,10.326929315186678,9.720783611417342,FF,False,8.923100810063106,9.720783611417342,1,50.0,-1.9511954782861063,11.357340720221606,30.713296398891966
"Rangel, Alan",2,10.657839680809541,6.6331,10.223495571116697,6.852299999999998,10.61890000000001,85.60518544594929,45.45199112999998,bbox,10.143023122505511,9.536877418736175,FF,False,8.739194617381939,9.536877418736175,1,50.0,-2.0042454121118363,11.080332409972298,30.574792243767313
"Schwellenbach, Spencer",6,16.07460848102466,23.3129,15.976274631790101,22.0392,16.0488,167.55914441073412,239.77264116500004,hull,14.753729021135126,15.843851527138892,FF,False,9.388060494975909,7.953468170059765,3,100.0,-0.6140671111949385,30.47091412742382,30.47091412742382
"Wells, Tyler",3,20.130881880863324,18.9219,12.612765336285051,11.600100000000001,6.395200000000003,90.10734977339551,78.04582822500001,hull,12.98496583776101,12.80288718643495,FF,False,11.903478304469346,12.143092324255987,2,75.0,-0.880390492074579,23.822714681440445,30.384349030470915
