player_name,boundary_type,vertex_order,HB,IVB
"Beck, Tristan",hull,2,8.1038,-14.4111
"Bednar, David",hull,0,8.1016,-7.499
"Bednar, David",hull,1,-8.1836,18.0508
"Bednar, David",hull,2,-7.9797,5.275
"Beeks, Jalen",hull,0,-2.4818,0.8637
"Beeks, Jalen",hull,1,15.8838,9.8108
"Beeks, Jalen",hull,2,6.6592,15.688
"Beeter, Clayton",bbox,0,-3.7343,-5.2822
"Beeter, Clayton",bbox,1,4.2308,-5.2822
"Beeter, Clayton",bbox,2,4.2308,17.9986
"Beeter, Clayton",bbox,3,-3.7343,17.9986
"Bello, Brayan",hull,0,-7.6539,13.5119
"Bello, Brayan",hull,1,-16.9186,5.6786
"Bello, Brayan",hull,2,-16.0557,4.5528
"Bello, Brayan",hull,3,9.8888,-3.1877
"Bellozo, Valente",hull,0,-15.9707,4.7328
"Bellozo, Valente",hull,1,14.8291,3.4777
"Bellozo, Valente",hull,2,-3.3682,17.4606
"Bender, Anthony",hull,0,16.765,2.254
"Bender, Anthony",hull,1,-18.3709,3.3726
"Bender, Anthony",hull,2,4.571,-1.0539
"Bergert, Ryan",hull,0,-7.7667,18.6619
"Bergert, Ryan",hull,1,-14.947,13.9842
"Bergert, Ryan",hull,2,-14.4703,7.4582
"Bergert, Ryan",hull,3,14.9985,-0.5944
"Bernardino, Brennan",hull,0,-15.6153,1.1775
"Bernardino, Brennan",hull,1,15.1835,0.6058
"Bernardino, Brennan",hull,2,15.9923,4.9798
"Bernardino, Brennan",hull,3,-1.9421,5.8031
"Berríos, José",hull,0,-9.8073,15.2216
"Berríos, José",hull,1,-16.0583,10.7892
"Berríos, José",hull,2,-14.4199,4.3587
"Berríos, José",hull,3,14.8899,-4.5118
"Berríos, José",hull,4,0.058,9.9995
"Bibee, Tanner",hull,0,-14.115,9.4703
"Bibee, Tanner",hull,1,10.2839,-8.6128
"Bibee, Tanner",hull,2,16.0163,-1.9185
"Bibee, Tanner",hull,3,-5.5364,14.6226
"Bibee, Tanner",hull,4,-11.9647,11.4561
"Bido, Osvaldo",hull,0,-16.0027,9.983
"Bido, Osvaldo",hull,1,7.1311,3.346
"Bido, Osvaldo",hull,2,-10.2262,15.7613
"Bieber, Shane",hull,0,-13.1471,-0.5585
"Bieber, Shane",hull,1,7.5075,-12.1605
"Bieber, Shane",hull,2,1.981,7.15
"Bieber, Shane",hull,3,-10.2203,17.7849
"Bigge, Hunter",bbox,0,-4.2176,2.5687
"Bigge, Hunter",bbox,1,5.0887,2.5687
"Bigge, Hunter",bbox,2,5.0887,17.9435
"Bigge, Hunter",bbox,3,-4.2176,17.9435
"Bird, Jake",hull,0,-11.2178,0.3871
"Bird, Jake",hull,1,16.0678,-8.744
"Bird, Jake",hull,2,14.3248,6.03
"Birdsong, Hayden",hull,0,-11.889,-0.0257
"Birdsong, Hayden",hull,1,3.8462,-12.6372
"Birdsong, Hayden",hull,2,1.953,7.1039
"Birdsong, Hayden",hull,3,-6.0143,18.0569
"Bivens, Spencer",hull,0,5.5026,-4.9026
"Bivens, Spencer",hull,1,12.6222,3.6967
"Bivens, Spencer",hull,2,1.4659,10.243
"Bivens, Spencer",hull,3,-7.5037,13.7689
"Bivens, Spencer",hull,4,-15.9709,6.5491
"Bivens, Spencer",hull,5,-11.4188,2.3461
"Blackburn, Paul",hull,0,8.0456,-15.9304
"Blackburn, Paul",hull,1,16.9964,-5.0673
"Blackburn, Paul",hull,2,4.1777,6.2456
"Blackburn, Paul",hull,3,-12.9047,7.2413
"Blackburn, Paul",hull,4,-11.0574,3.6052
"Blalock, Bradley",hull,0,-8.5254,7.6127
"Blalock, Bradley",hull,1,1.1093,-9.6907
"Blalock, Bradley",hull,2,4.02,-2.2252
"Blalock, Bradley",hull,3,4.54,4.7188
"Blalock, Bradley",hull,4,-2.8828,16.8534
"Blanco, Ronel",hull,0,-13.6861,6.2485
"Blanco, Ronel",hull,1,10.2365,-1.5287
"Blanco, Ronel",hull,2,-6.7043,18.8014
"Blewett, Scott",hull,0,-6.4604,2.3244
"Blewett, Scott",hull,1,2.2532,-0.6172
"Blewett, Scott",hull,2,-5.3353,14.707
"Blubaugh, AJ",hull,0,-17.3694,7.1608
"Blubaugh, AJ",hull,1,15.3211,1.2322
"Blubaugh, AJ",hull,2,-11.7345,17.8174
"Booser, Cam",hull,0,7.2998,16.1148
"Booser, Cam",hull,1,-13.0873,-4.109
"Booser, Cam",hull,2,-3.3118,0.8014
"Borucki, Ryan",hull,0,18.09,8.5046
"Borucki, Ryan",hull,1,-14.0136,-0.9297
"Borucki, Ryan",hull,2,13.1965,0.2575
"Boushley, Caleb",hull,0,-5.5517,16.5092
"Boushley, Caleb",hull,1,-15.6267,10.2012
"Boushley, Caleb",hull,2,-14.6473,6.551
"Boushley, Caleb",hull,3,7.5,-11.24
"Boushley, Caleb",hull,4,4.7236,1.1964
"Boushley, Caleb",hull,5,1.2197,11.4943
"Bowden, Ben",bbox,0,-0.1494,4.7479
"Bowden, Ben",bbox,1,13.2665,4.7479
"Bowden, Ben",bbox,2,13.2665,16.5458
"Bowden, Ben",bbox,3,-0.1494,16.5458
"Bowlan, Jonathan",hull,0,-7.9864,17.6779
"Bowlan, Jonathan",hull,1,-14.0112,12.455
"Bowlan, Jonathan",hull,2,-12.4308,4.6407
"Bowlan, Jonathan",hull,3,12.2366,-7.164
"Bowman, Matt",hull,0,-18.2066,3.6427
"Bowman, Matt",hull,1,12.5848,4.9614
"Bowman, Matt",hull,2,2.017,7.295
"Boyd, Matthew",hull,0,-10.8975,-8.5433
"Boyd, Matthew",hull,1,15.7623,5.6675
"Boyd, Matthew",hull,2,13.2728,12.889
"Boyd, Matthew",hull,3,-2.394,0.2728
"Boyle, Joe",hull,0,-15.7918,2.9053
"Boyle, Joe",hull,1,3.4851,2.1651
"Boyle, Joe",hull,2,-8.2201,14.7783
"Bradish, Kyle",hull,0,-11.5297,14.0497
"Bradish, Kyle",hull,1,5.1638,-12.221
"Bradish, Kyle",hull,2,12.1663,0.0858
"Bradish, Kyle",hull,3,1.5193,16.05
"Bradley, Taj",hull,0,-12.6607,8.909
"Bradley, Taj",hull,1,3.9503,-14.6665
"Bradley, Taj",hull,2,4.0016,5.5618
"Bradley, Taj",hull,3,-6.2411,18.5148
"Bradley, Taj",hull,4,-10.4632,15.363
"Brash, Matt",hull,0,15.4312,-0.6655
"Brash, Matt",hull,1,-17.4942,7.8684
"Brash, Matt",hull,2,-14.4355,-3.3172
"Brasier, Ryan",hull,0,-15.3562,10.7175
"Brasier, Ryan",hull,1,5.3991,2.3163
"Brasier, Ryan",hull,2,-8.2379,15.6304
"Brazobán, Huascar",hull,0,-17.8683,8.1406
"Brazobán, Huascar",hull,1,-16.4755,1.8695
"Brazobán, Huascar",hull,2,-2.1965,8.5304
"Brazobán, Huascar",hull,3,-11.0876,14.4734
"Brebbia, John",bbox,0,-10.7861,4.2223
"Brebbia, John",bbox,1,6.8304,4.2223
"Brebbia, John",bbox,2,6.8304,17.2827
"Brebbia, John",bbox,3,-10.7861,17.2827
"Bride, Jonah",bbox,0,-14.1818,12.855
"Bride, Jonah",bbox,1,-14.1818,12.855
"Bride, Jonah",bbox,2,-14.1818,12.855
"Bride, Jonah",bbox,3,-14.1818,12.855
"Brieske, Beau",hull,0,-14.022,6.2208
"Brieske, Beau",hull,1,-4.5247,18.2814
"Brieske, Beau",hull,2,-12.8239,15.7433
"Brogdon, Connor",hull,0,-16.784,7.0766
"Brogdon, Connor",hull,1,3.9715,6.2762
"Brogdon, Connor",hull,2,-10.9616,15.4732
"Brown, Ben",bbox,0,-7.4138,-2.3423
"Brown, Ben",bbox,1,2.5823,-2.3423
"Brown, Ben",bbox,2,2.5823,16.9486
"Brown, Ben",bbox,3,-7.4138,16.9486
"Brown, Hunter",hull,0,-14.3616,7.9042
"Brown, Hunter",hull,1,5.0749,-15.9487
"Brown, Hunter",hull,2,3.6857,5.6924
"Brown, Hunter",hull,3,-6.751,17.3343
"Brown, Hunter",hull,4,-13.9259,13.1548
"Brown, McCade",hull,0,-11.3102,12.9029
"Brown, McCade",hull,1,11.144,-11.9707
"Brown, McCade",hull,2,3.3885,2.6202
"Brubaker, JT",hull,0,-15.5017,4.8133
"Brubaker, JT",hull,1,0.4116,1.3189
"Brubaker, JT",hull,2,-15.2847,9.2753
"Bruihl, Justin",bbox,0,-19.5662,-1.9398
"Bruihl, Justin",bbox,1,17.7412,-1.9398
"Bruihl, Justin",bbox,2,17.7412,2.8863
"Bruihl, Justin",bbox,3,-19.5662,2.8863
"Brzykcy, Zach",hull,0,-16.4835,9.3341
"Brzykcy, Zach",hull,1,5.13,-10.8718
"Brzykcy, Zach",hull,2,-6.9345,19.0428
"Bubic, Kris",hull,0,4.3268,18.1511
"Bubic, Kris",hull,1,-13.0925,-4.7447
"Bubic, Kris",hull,2,11.3448,0.1844
"Bubic, Kris",hull,3,13.5467,9.4462
"Buehler, Walker",hull,0,-15.8608,5.2032
"Buehler, Walker",hull,1,11.3255,-14.7481
"Buehler, Walker",hull,2,16.3033,1.5679
"Buehler, Walker",hull,3,4.3683,10.8762
"Buehler, Walker",hull,4,-5.7334,16.899
"Buehler, Walker",hull,5,-15.251,10.8518
"Bummer, Aaron",hull,0,8.4755,11.0472
"Bummer, Aaron",hull,1,-14.8134,-0.4763
"Bummer, Aaron",hull,2,-12.7659,-8.3783
"Bummer, Aaron",hull,3,14.4837,1.2233
"Burgos, Juan",hull,0,-13.8767,3.8983
"Burgos, Juan",hull,1,13.2051,0.4989
"Burgos, Juan",hull,2,0.0362,5.5134
"Burke, Brock",hull,0,1.0761,5.0919
"Burke, Brock",hull,1,15.24,5.1202
"Burke, Brock",hull,2,15.077,10.6415
"Burke, Brock",hull,3,8.3847,15.8057
"Burke, Sean",hull,0,-14.7809,8.8986
"Burke, Sean",hull,1,5.8998,-14.8885
"Burke, Sean",hull,2,5.3748,4.8955
"Burke, Sean",hull,3,-4.9985,18.3911
"Burnes, Corbin",hull,0,-15.3912,7.7458
"Burnes, Corbin",hull,1,9.7082,-11.5027
"Burnes, Corbin",hull,2,6.2427,1.408
"Burnes, Corbin",hull,3,2.4365,12.1825
"Burnes, Corbin",hull,4,-12.6445,10.9089
"Burns, Chase",bbox,0,-3.4934,1.335
"Burns, Chase",bbox,1,5.0486,1.335
"Burns, Chase",bbox,2,5.0486,18.1165
"Burns, Chase",bbox,3,-3.4934,18.1165
"Burrows, Mike",hull,0,-5.6679,16.9326
"Burrows, Mike",hull,1,-14.1986,11.8717
"Burrows, Mike",hull,2,-13.8733,7.9466
"Burrows, Mike",hull,3,8.8243,-16.2256
"Burrows, Mike",hull,4,3.6488,2.9684
"Buttó, José",hull,0,-3.1232,15.1046
"Buttó, José",hull,1,-14.5594,10.1022
"Buttó, José",hull,2,-9.4446,3.2292
"Buttó, José",hull,3,12.5626,-5.3439
"Cabrera, Edward",hull,0,-17.5012,4.4861
"Cabrera, Edward",hull,1,10.9177,-10.9824
"Cabrera, Edward",hull,2,1.8713,2.1967
"Cabrera, Edward",hull,3,-10.9463,14.5816
"Cabrera, Edward",hull,4,-17.2161,9.5541
"Cabrera, Génesis",hull,0,-7.6904,-8.3413
"Cabrera, Génesis",hull,1,15.3503,12.0455
"Cabrera, Génesis",hull,2,8.3919,16.6903
"Cabrera, Génesis",hull,3,-0.2219,7.149
"Cameron, Noah",hull,0,-3.7744,6.4349
"Cameron, Noah",hull,1,-3.4345,-10.6978
"Cameron, Noah",hull,2,10.8466,11.2072
"Cameron, Noah",hull,3,4.4745,16.8078
"Canning, Griffin",hull,0,-9.56,15.7485
"Canning, Griffin",hull,1,-14.9627,1.47
"Canning, Griffin",hull,2,1.294,-4.4362
"Canning, Griffin",hull,3,13.2893,-5.4851
"Cannon, Jonathan",hull,0,-15.4628,1.2432
"Cannon, Jonathan",hull,1,15.099,2.6204
"Cannon, Jonathan",hull,2,-8.8375,14.9708
"Cannon, Jonathan",hull,3,-15.0638,5.1026
"Cano, Yennier",hull,0,-13.1577,-4.2625
"Cano, Yennier",hull,1,12.2987,-0.2752
"Cano, Yennier",hull,2,-13.68,7.4219
"Cano, Yennier",hull,3,-17.8937,1.9951
"Cano, Yennier",hull,4,-17.0097,-1.3205
"Cantillo, Joey",hull,0,-8.1348,-18.0092
"Cantillo, Joey",hull,1,10.256,12.3807
"Cantillo, Joey",hull,2,7.0548,16.8706
"Cantillo, Joey",hull,3,-4.9004,5.6155
"Carrasco, Carlos",hull,0,-5.4096,11.9933
"Carrasco, Carlos",hull,1,-13.7505,4.7417
"Carrasco, Carlos",hull,2,-7.5116,1.2824
"Carrasco, Carlos",hull,3,7.9785,-5.5908
"Carrasco, Carlos",hull,4,2.4699,4.1691
"Casparius, Ben",hull,0,13.9856,-0.884
"Casparius, Ben",hull,1,-2.8222,17.8877
"Casparius, Ben",hull,2,10.218,-14.5193
