player_name,p_throws
"Winn, Cole",R
"Winn, Keaton",R
"Wolfram, Grant",L
"Woo, Bryan",R
"Woodford, Jake",R
"Woodruff, Brandon",R
"Woods Richardson, Simeon",R
"Wrobleski, Justin",L
"Wynne, Randy",R
"Yamamoto, Yoshinobu",R
"Yarbrough, Ryan",L
"Yastrzemski, Mike",L
"Yates, Kirby",R
"Yesavage, Trey",R
"Yoho, Craig",R
"Young, Brandon",R
"Young, Danny",L
"Young, Jared",R
"Zastryzny, Rob",L
"Zeferjahn, Ryan",R
"Zerpa, Angel",L
"Zimmermann, Bruce",L
"Zuber, Tyler",R
"Zulueta, Yosver",R
"de Geus, Brett",R
"deGrom, Jacob",R
