player_name,p_throws,horizontal_coverage,vertical_coverage,velocity_range,hull_area,centroid_dispersion,avg_nn_distance,map_x,map_y
"Bummer, Aaron",L,29.2971,19.4255,10.574400000000011,266.504466305,14.555808858919626,9.839244319971298,1.4184020185050656,-0.4604159330950228
"Bivens, Spencer",R,28.5931,18.6715,15.346100000000009,277.141213885,11.211599203743832,8.999170597404591,1.4176580600523898,-0.8939057838012848
"Webb, Jacob",R,31.6223,22.6819,11.393500000000005,175.06742429500005,15.61574540279853,18.07181412705209,1.8818528246583412,0.6169040308082742
"Glasnow, Tyler",R,15.9097,32.3074,14.187400000000013,177.1110983,13.252966796304396,12.868823321632966,1.4059673506996209,-0.7625148723684049
"Slaten, Justin",R,16.6015,34.1207,11.780100000000004,217.22753923000005,12.653652563919476,13.982953792579544,1.3906147562293047,-0.7095822095445095
"Rogers, Taylor",L,33.3428,7.6189,14.5355,254.03545892,17.10109608365791,34.20219216731582,2.774842382756178,3.220033188365953
"Blubaugh, AJ",R,32.6905,16.5852,12.832399999999993,190.88832522,15.235339277091123,18.61459581531906,1.8398463572104222,0.8816262499322551
"Soroka, Michael",R,29.2673,23.6601,13.23190000000001,168.70034422499998,13.22904075811169,10.783549666447648,1.3774491775118356,-0.5382378070424189
"Snell, Blake",L,25.884,24.5649,14.4525,185.790363985,11.690644337121704,13.387007284434477,1.3736688893981492,-0.4027061184603676
"Rocker, Kumar",R,25.0139,23.095,18.304199999999994,199.1954493,11.445349433705635,5.93731245448116,1.3694285517157665,-1.475146528108332
"Misiorowski, Jacob",R,23.1645,24.7742,12.156800000000004,246.11072108,12.29496262413965,14.091872822201402,1.3659027334013507,-0.31446733131726395
"Brzykcy, Zach",R,21.6135,29.9146,11.573900000000007,201.392563275,14.774494781194887,18.940988118890417,1.8180230981244883,0.27006510176060444
"Smith, Shane",R,21.1632,25.8232,13.546999999999995,270.20751755,11.710202174028232,11.140567473998342,1.3592772993268671,-0.8711721924160901
"Leiter Jr., Mark",R,22.0234,30.9863,19.68929999999999,2.701248839999966,14.373949669877844,16.455829906049175,1.8087639110995986,-0.08883803071908328
"Thornton, Trent",R,19.9554,29.3148,14.260099999999994,191.65318254,11.736164358733134,13.79760784402074,1.3545096644972545,-0.5901560590166397
"Gallen, Zac",R,17.160600000000002,28.639,12.487899999999996,254.27877308500007,11.916158933168044,15.3365822838923,1.347399946035793,-0.39645515191923986
"Miller, Bryce",R,18.9731,29.7808,11.462799999999987,278.7451262200001,12.207514181270335,11.49213428776202,1.3377986832125992,-0.9310945959883735
